"Strings","Encrypted"
"Never quit.","dlepMxTUU0BsP+QsSv9Ovg=="
"Be kind.","y8m54cH5dfNJh1I1MqOZXQ=="
"Dream big.","RggkrJZ751AulvbJZat8dA=="
"Think positive.","Q80V1479hF5wdYQcshIi1g=="
"Stay focused.","dJJkvF56qn4FbL4k0PjPDw=="
"Believe yourself.","9O5PqgD1bw1T2ZMF1tolQ0sAiWle8Ekm"
"Work hard.","rbvQukFItLiFJ1bWNn548g=="
"Love more.","qWBZer7YF8U2/xMWnwwuvw=="
"Stay humble.","03qaA2E33yJCmyL8+mYozw=="
"Keep learning.","lblvbIKczT+M77E46mERcw=="
"Trust yourself.","V4vKFRlWEgqE015CwOcafQ=="
"Stay patient.","0zGlA3M/qdpDfi3wED5YuQ=="
"Be fearless","GVGrcmJExOxgsvcgtMgCvw=="
"Enjoy life","ZqJU1kIO0TL9Wtx+og3hNg=="
"Take risks","++55RzqsN8PmSIpyalzJ+g=="
"Keep growing","NNeY3DcqVuPvRjo0tkIMRQ=="
"Stay curious","616f1A3mKSbHqHpksBpnIQ=="
"Stay determined.","DERIH+NJPAJlsb+HtDDNXUmHUjUyo5ld"
"Keep smiling.","8+YsPd5Dubd09DNVa6T4Ew=="
"Stay motivated","x2y3+PgM3kixV07fRhDGXw=="
"Be different","j5N5HnptYROU0W74qIypQA=="
"Stay grateful","W+Db0Lni8v4q/Q6NIQ6d0Q=="
"Stay disciplined","v1CIpW73yaSq994v6PG/9kmHUjUyo5ld"
"Think smart","eQoIrNAOYp5wZTHKECIGLA=="
"Be confident","pTzYIs5wyfO3XcIyR/wijg=="
"Stay happy","vcY5Vq170Yc4lwNuRoFA6A=="
"Stay inspired","bhxRxy6GSpBFjvC0XH15FA=="
"Be unstoppable","bBjoW+KefZOjLHtmxu5pyQ=="
"Hustle hard","tCU6+kQObI1St7T/qtstAQ=="
"Stay strong","7BvfYz+t21WHrfwMMSPV8A=="
"Never settle","lvl+kjd+dyboq9dwN1W2gA=="
"Choose wisely","9dV+OYoKTAAya0ABWRmgmg=="
"Stay active.","mCV4WXPUk46Lr39WKbjvRg=="
"Act now.","GuFqqh2KvRVJh1I1MqOZXQ=="
"Keep pushing.","WlLjg1ZQc5b+wDL/z2ZPng=="
"Stay positive.","XXXruKgDBUAcEKpqHHM2Gg=="
"Create opportunities.","Z28VHj+gw18rtW63szBeP0gwD4zffdhJ"
"Keep moving.","uT0zqhhZYrMcT24beKp3gw=="
"Work smarter.","vWFsaj4A2019Gx1eVgKdJA=="
"Stay consistent.","a16aOTl9blUW1m1fgqgje0mHUjUyo5ld"
"Never stop.","xKebvbegmzWZEXoCsd+yLQ=="
"Be unique.","JkYdMBp+B942/xMWnwwuvw=="
"Keep improving","PaZ3pbGSuxEOBbzIGNAVFA=="
"Stay resilient.","LnjmgHzb0kpVJ0WcKYAksA=="
"Keep believing","uzpY+w4/wlD0/cylDABDww=="
"Stay fearless","4OKBtyYHGRovcYX2hN7D4A=="
"Make progress","W3JU/Dm2RiZ2K12Ygw4HEw=="
"Keep winning.","DX65ZgmHDdrN5tcmGeSWBw=="
"Stay true","hf+CAH1pygbe5Nt7AttDXg=="
"Never doubt.","CHNpUbSnjYV5Vopn+N2dhA=="
"Keep shining","eNbt46XMWzbz3CztgHE4Ag=="
"Live free","4Rc6GtQFaSXe5Nt7AttDXg=="
"Love unconditionally","H3+dhXKO3PHwdTkDgPa48kzV1ndEZEHi"
"Stay unstoppable.","/xPEw7HvUI5Wls8S2NGkxEsAiWle8Ekm"
"Rise again.","743cqyf9NAk8+Gc2oYBFgQ=="
"Enjoy moments.","SI+i+WoGSTjYCBL7lSlneA=="
"Embrace change.","DjJQ1TMwQxiW3Bb3xNHyvg=="
"Stay powerful.","V7FYHnrkpYFSYNxXTZeE0A=="
"Keep trying","B3sPZDMSA3r1z6TTSBDiIA=="
"Stay real.","9iAatWZUru+G/G/5kZc19A=="
"Trust fully","nrEjwDRk1bmQGDwsV0U2Ig=="
"Keep striving.","B0p6MMBYWB8I84Faj2IqqQ=="
"Never hesitate","oXbVrkDjll73mp9RmiLVqw=="
"Stay adventurous","5LeVPeSeM3vXjE+t6TSJ3kmHUjUyo5ld"
"Keep pushing","WlLjg1ZQc5aYoRz5/TUMCg=="
"Never fear","LC/3j8UP3TZsrlTMpoxBSg=="
"Trust life","e7kT+RH7hm39Wtx+og3hNg=="
"Love yourself","FuU6/ppNGsZYaK2GMy0pdA=="
"Stay hopeful","xUtP1f9JrWJt7zu76rVqaw=="
"Work hard","rbvQukFItLj9DKojZQHYuA=="
"Dream big","RggkrJZ751CoDF2WMOKXlw=="
"Keep smiling","8+YsPd5DubePCuIt6nSlfA=="
"Stay patient","0zGlA3M/qdoH1SMGXhFiLw=="
"Move forward","9roBushaol66rK8qSHJifQ=="
"Believe more","9O5PqgD1bw27p3ImBWyL8Q=="
"Stay positive","XXXruKgDBUAcWXuc7P4MzQ=="
"Think wisely","clPZ5wVxqujVZ3/eXLOuvw=="
"Hustle daily","TyVvqrW/dfTXOPkgXAIm5g=="
"Choose happiness","9FEZEpyu9CW7G5IQlGWm9UmHUjUyo5ld"
"Hi, nice to meet you.","IyYUXoPfH9EfskETnlFUpllQBryT6VSJ"
"Do you have any children?","fqOir5Xgvtfu+le94XmO5oo8+ogqR0gQzx6rK74kz5w="
"Yes, I have two kids.","Y8XTE60NM5+iurJGMA398OGK8S0l87gq"
"My day was great, thank you.","vgsje6mIZH74oIljI1HctMa8YtvBMebJE4KUmunYO1g="
"I wake up at 7 am.","15nmGEeeFcaSkFZK9WSWPSLVbCJBDzMq"
"I drive to the office.","BL1FYyHanKVlV2uC5QmvwqvA4Eqyw7m+"
"I start work at 9 am.","+GMp0NfF6O5qB2nBxYgTwBbpkG+1VCAz"
"I have a meeting at 10 am.","Njt68TzMLd8xOpPpqhyxRhog88B1t4mnItVsIkEPMyo="
"I take a lunch break.","gH2PfDyzDXa4V8b0H9sgo3agc8pQ6lcn"
"I eat lunch at 1 pm.","kdIeHvLnoJVcSYlX3deVS1shUsTev73F"
"I finish work at 5 pm.","7aqizMKD4Wm3MqQecJHT3e0zLqpvGh9v"
"I go to the gym.","2TJQ22G2cmCXn7WjAnnnckmHUjUyo5ld"
"I exercise for an hour.","SdD143mgRd9KkRg0PGJr4fSIlY8fhv7X"
"I go to bed at 10 pm.","2TJQ22G2cmAnOkK0JfvGfYTk2G/dGEkG"
"Where is the nearest grocery store?","PPOncWsKy1x8IFYPztPPqblksPo+4myBfNgXUqZ7j23YXjm1G/IDMg=="
"I need to buy some milk.","O2CTEMz0rmkVCOqfHL8tP/z+jvkTNaHOSYdSNTKjmV0="
"How much does this cost?","KSfw/XEXgQAvzqLx6HuNcVieTiN7F2CfSYdSNTKjmV0="
"Do you accept credit cards?","pqP1tBqX50rJSRWUjZsmMS7FptpsxFVIxwAgU4DH5O4="
"Can I have a receipt, please?","KyFtfX1+DHglSA/WflGxwS2gip3kPk1dpI09RdhL3C4="
"I am looking for a gift.","WNzuL4XidDis1EusGPUwsbhWC13jVv0ISYdSNTKjmV0="
"What size do you wear?","tI1vwo9k6NK5LStcHvUpxBEsDtZdlClZ"
"Can I try this on?","jr4bktGshF5v2ZlCpnchPbArNlbN6Hry"
"Is there a discount on this item?","dL1QhH5bdgZQHP629y4fcO7XXImn4ypN3m9CsyIPceXPHqsrviTPnA=="
"Can you help me find this product?","5uf82NQy4b3DcJsdC4MRN2FGKfEq1OlNA8BOUTVhXWRq1grQmwwE6Q=="
"How much is this in total?","KSfw/XEXgQCgpcUs/yUL2JzFC6IQuKnU8IuHex7bdA4="
"Do you have any offers today?","fqOir5Xgvtfu+le94XmO5g7hzhYHwYdMWjX17iadgR8="
"Where is the fitting room?","PPOncWsKy1wkSXskrf+ugtC6l9zPrAj+AGzsEtmjQck="
"I need a shopping cart.","fYZpv5bOWDmrvDaW1sKj/ZUN7G0ANb8/"
"Do you sell organic products?","tyN2Jrza59unLsClHjDQ379SO6v/NfAvolaEKaVcXuk="
"Can I get this delivered?","J8hQILePnAy4YdCkyXcChyAMO/+25Xiwzx6rK74kz5w="
"What time do you close?","vidu9YjGiMO5LStcHvUpxF0twmQ6f4mX"
"I would like to return this item.","pzI9O/j2UsPoCc37yulBXRak8vEAHhPL3m9CsyIPceVLAIlpXvBJJg=="
"Is this item on sale?","wlEu3L4K2nlUM933siJIYiLrhttZrVMX"
"Can I see the menu, please?","DPYNxo5/G5ZHeIgHLiqdv6r6LGlZJjwGX32qcHRhD3Q="
"I would like to order.","pzI9O/j2UsPoCc37yulBXRj+70lh4PLC"
"I will have the chicken, please.","AffWhP2GM0qkLUwii/iEfGVv3PFNdPsTfhufFW4D/6hJh1I1MqOZXQ=="
"Can I get a glass of water?","J8hQILePnAyxXzOUXSoJov9JXYyYE85j7WOVuK1s730="
"I would like a coffee, please.","pzI9O/j2UsNogQaGxlOItlsmKYwpT9WWUybqzBeMP8o="
"Can we get the check, please?","Bsfy+B4HOvraBEOYZxfqg7EHwLERU668pI09RdhL3C4="
"Is there a vegetarian option?","dL1QhH5bdgayaAMK+Gx+YE44UlgIrMKFjqX0atI7wVI="
"Can you recommend a dessert?","5uf82NQy4b0QyEfeCPuyO9oN8SppnSrS/3FPO8OVau0="
"I have a food allergy.","Njt68TzMLd/iC4vW6StAaEe/W9YeB6Le"
"Can you make it less spicy?","5uf82NQy4b0+c+efxWzeVeSeK99rP3BHom1shH0duok="
"I would like a takeout, please.","pzI9O/j2UsNRXdnpOwMQH9z2l5iuFjmrQ9ug7ywrWN4="
"Is there a service charge?","dL1QhH5bdgakYelRFEAlml2lPwEUiBsscmWLQLPwJUQ="
"Can I pay by card?","/VjzZkHMwkysbLdScBWGkO598v7va1iG"
"Do you have any vegan options?","fqOir5Xgvtfu+le94XmO5lisak6xqoauuwLlRfOptho="
"What is the soup of the day?","9Kx5bha43J/e45BfvpN8Ck3bxOgg+7wcYfKwn9U6sYk="
"Can I have some extra napkins?","KyFtfX1+DHj8GmSmmV/pkTCSEWE8cI1eBJiNixyPn2c="
"The food was delicious, thank you.","cWKa4UIiEBBJMmKxG7F1vk8SqTnY0Hr+o+dcnJece1VRAT3fRewmbw=="
"English Sentences on Asking for Directions","9g55aNPvtEE3cYULzHV/klD1bLkmZ2vWaF+5wWCwBEAk9iqdUL2MTwoAUMiIj2U6"
"Excuse me, where is the restroom?","SI9Yrw+tZhEbtzXJy/m4oVJpOQcWBWEiC06A7ehMgmrPHqsrviTPnA=="
"Can you show me on the map?","5uf82NQy4b3fz6Y+V4UPzmpXxtUsccELQJCsruGjvcw="
"Is it far from here?","PkZoptgAbvAohbOVtiQpBsOhC1oy058V"
"Which bus should I take?","pm3TfTQpZSfBdM/nD7cTkqETzNp3zENoSYdSNTKjmV0="
"Where is the nearest ATM?","PPOncWsKy1x8IFYPztPPqVlTvnmVnRKqzx6rK74kz5w="
"Is there a pharmacy nearby?","dL1QhH5bdgbtGOACnI8oVjd+j9UZJWobOn8BsV1kIlQ="
"How far is the mall from here?","rASS+VBeGFsHb9C0bc4zRUKlDfTaf9ERJvB3jbi32B0="
"Is it within walking distance?","vWno99/J1UVGToyV8Q6tAONYIfALmAJez/2wzwLgYsI="
"Where can I find a taxi?","tl+NwaOl/oj3XT1WaHEI9jP9oHxhmtl/SYdSNTKjmV0="
"Can you help me find this address?","5uf82NQy4b3DcJsdC4MRN2FGKfEq1OlNDJez6zDEFzaHzeEh8G451w=="
"What is the nearest landmark?","9Kx5bha43J+5fdqahUhDt0cDXv8nCMOA8uYfR1lqdOo="
"Is there a subway station nearby?","dL1QhH5bdgZPWNRdD1QaqQK3VOBnVDJT20FRz69DoS3PHqsrviTPnA=="
"Is there a parking lot around here?","dL1QhH5bdgZlPmqQGQB7+x4QAVGrmZW+Gwkd+ZUyAMfYXjm1G/IDMg=="
"At Work – English Sentences","8h90E1t4Ioc0WIkgLuCK/LSwDqlnHB90IUKlUNJ/ExM="
"I have a meeting at 9 am.","Njt68TzMLd8xOpPpqhyxRg+blA6A6El0SwCJaV7wSSY="
"Can you send me the report?","5uf82NQy4b2ijx6RRp+PPhhK3ohbLXQ/Qa59sV9l5fI="
"I need to finish this project.","O2CTEMz0rmmWasV18jCPt686s+0X1QOaiDyhmbC6g+k="
"Can you help me with this task?","5uf82NQy4b3DcJsdC4MRNxDZTWIXMXMm4wFtwPIMA8I="
"Can we discuss this later?","OYCCregNEZC+ynWRX3PgtGKMv+jz1UcH3ktBJD9dI/0="
"I will send you an email.","fx3lC28lcvxh2X1VpHF2N9mHILgqVT4oSwCJaV7wSSY="
"Can you print this for me?","5uf82NQy4b0IGKKwStgaA4ON/3n5sySxcmWLQLPwJUQ="
"I need to make some copies.","O2CTEMz0rmn87KKBS/920b6/GLpKdnOUy2IM5sTIv40="
"I need to call a client.","O2CTEMz0rmkAZim+KdzCuGpJu86/jWsYSYdSNTKjmV0="
"Can you join the conference call?","5uf82NQy4b3olT2xcvJiJCTpv7LQHFt8wKvYqgPZL1vPHqsrviTPnA=="
"Let’s have a team meeting.","nKggvC/Zsg5yr71Wc3DMxMlzP6vp5463HE9uG3iqd4M="
"Can you cover for me?","5uf82NQy4b2jTlwLPr2d7rq3+ThOGJfi"
"I need a ticket to New York.","fYZpv5bOWDmaWn7Pdp96+YH3xFVE0TyPB4uksN8a46c="
"What time is the next train?","vidu9YjGiMO1O9nH3IPzwO1M1CGIUEqGkqW+pE5w7Xc="
"How much is a one-way ticket?","KSfw/XEXgQAz2MlKOn94JHQ3RbIhUTiaAa2mPMezNLM="
"Where is the boarding gate?","PPOncWsKy1zSPSHzoKmUfgeGlR2NrYZN7t9ujbDmoNc="
"Can I have a window seat?","KyFtfX1+DHjaL5gkEF1JKjpkTwQkgTI9zx6rK74kz5w="
"How long is the flight?","DIH+Ue+ZaxdSaTkHFgVhIl53YdH+SSmr"
"What time does the bus leave?","vidu9YjGiMMaDnt2eHCtTdrvpQY53c58PWTFqZEkHMM="
"Where can I rent a car?","tl+NwaOl/ohGysVLr2VxLyd2nlnZgVbT"
"I need a map of the city.","fYZpv5bOWDnHlJBqfkcMzPLpJcIA1O1ISwCJaV7wSSY="
"Can you book a taxi for me?","5uf82NQy4b0yLSgFvtnWZ3JKhHvFph7jwz8VegZ1/QA="
"Where is the baggage claim area?","PPOncWsKy1zRuv937jYDJw/8OjZ+AskqezAtS5So8sJJh1I1MqOZXQ=="
"What is the local time?","9Kx5bha43J+KHkhTIhnykjvAyBuUAf1G"
"Can you recommend a good restaurant?","5uf82NQy4b0QyEfeCPuyOy4u7CqmFr4ZsPVm3+Q2VhfjDHIeX0GiLg=="
"Is there free Wi-Fi here?","dL1QhH5bdgYBjEUmXPyy+n0xyf8rQweNzx6rK74kz5w="
"Where can I exchange money?","tl+NwaOl/oinRfaqlNFVHymSEi3D/DMNfZbyxyg/PRE="
"What is the check-in time?","9Kx5bha43J+V1MeaEQB2SWKjw2RkcVRdcmWLQLPwJUQ="
"Do you have a city tour?","fqOir5XgvtcUtakhwk9aZcinD4hsI7OaSYdSNTKjmV0="
"Can I get a late check-out?","J8hQILePnAx0O0aZFx0HQ0P0r2gCrrrihCrQce4PKVw="
"Is there a hospital nearby?","dL1QhH5bdgb4jXmuIHlSqxv8eY2HroacOn8BsV1kIlQ="
"Can you help me find my way?","5uf82NQy4b3DcJsdC4MRN7DqxNWwnFyMsMcaJ16bkMc="
"My phone is not working.","zoRz25eopsPlw/COYWVK3TJ2Porg5WGwSYdSNTKjmV0="
"Is this the emergency room?","wlEu3L4K2nkPu9BWN8tezWw4+9Yt0QKJIgkvBZxOOoQ="
"Where is the nearest pharmacy?","PPOncWsKy1x8IFYPztPPqT+4P7YfbvIoeVYhPCe72hk="
"There has been an accident.","hUXmlkkOIR+MTjQ3WiPf95aOIeN8YDTDIWt54bDWt5E="
"Can you call an ambulance?","5uf82NQy4b3S9ohnEK8gWAbKY3dTTlZbcmWLQLPwJUQ="
"I need to see a dentist.","O2CTEMz0rmkDpzSM7QPIHttf3nHqQS/oSYdSNTKjmV0="
"Is there a fire extinguisher?","dL1QhH5bdgYUFBahoWqG19neMN3fVo2rMiJPzDh402A="
"I need to contact my family.","O2CTEMz0rmnfpFd56qJlmSM7lPox0qnoC4l1lJAd3T8="
"Can you help me with first aid?","5uf82NQy4b3DcJsdC4MRN5BKElZGl6mQybFVL+tFm/o="
"I need to report a crime.","O2CTEMz0rmmbdEMTSg42SIzGFXokFhSHSwCJaV7wSSY="
"Making Plans – English Sentences","tO6l3/eigJT5Dp2Gu97S/FwZeWA5PyzNaedRKNEhhl9077UYtOr1jQ=="
"Let’s go to the movies.","nKggvC/Zsg5IKUUmDsFERnK78ozde+iTSwCJaV7wSSY="
"Do you want to hang out?","iXzPuwo90axp2aneegoRjprbIdcqay9ySYdSNTKjmV0="
"Let’s meet at the park.","nKggvC/Zsg6OsyMOfirCV4+8rKgnEYK+SwCJaV7wSSY="
"Can you come over tomorrow?","5uf82NQy4b1wCkBleceKndaxXs5yB/ro9eNGaYChmEc="
"Let’s go for a walk.","nKggvC/Zsg5jS8XGfQoPHLv3SFLi8Xrk"
"Are you free this evening?","qDlgVXarsHpRqTwmsvnjE6UaCNsPs8CWRt8+61WeIsI="
"Let’s go to the beach.","nKggvC/Zsg5IKUUmDsFERtsMLQCJCo7LSYdSNTKjmV0="
"Do you want to play a game?","iXzPuwo90azV0cRNXvhnQyQsew+n9rBJwz8VegZ1/QA="
"Let’s go to the museum.","nKggvC/Zsg5IKUUmDsFERn/I0JP13RCPSwCJaV7wSSY="
"Can we visit the zoo?","W5HEhGbSh40q/6POkJT5bG/r2AQQ9m6A"
"Do you want to go hiking?","iXzPuwo90awjuc7pJb8xzq4sEDMqn/Puzx6rK74kz5w="
"Can we watch a movie?","dgIkw5BhMk8kgsPtsuxYP2BkBrQqUx36"
"Let’s go out for coffee.","nKggvC/Zsg6FVkIAGVGejoTy2X0gbkQrNv8TFp8MLr8="
"Do you want to join us?","iXzPuwo90ax6URNXXckHlQqXUy6mn7no"
"What is your favorite color?","9Kx5bha43J9u+I5q2rKv5GluOSGUeui3cKwdmQeKBaY="
"How do you spell that?","ZrYTb6Qa7Hi4MaG2nCPM10ZVZ8dT5C+d"
"It’s next to the bank.","fM25N5ryLqlVH0853EsBS1orRL+Jijz8SYdSNTKjmV0="
"Go to the end of the road.","NAukJg/J0UgabjTRu79P4tTGm6+5si6XhSdW1jZ+ePI="
"It’s near the bus stop.","fM25N5ryLqkpGS18KijxohCIAusnCHU3SwCJaV7wSSY="
"It’s in front of the store.","R+8lb3OScHqCeN1WCCBdgWUuwTfQVKfhKLR6FFEP8BM="
"I think this is great.","5nhqrinJhcj9jmY49ydPY5Onom6q1oSm"
"I believe you are right.","jdxaW8QEsSqCUGPI5hqy8VQhbgfDbBiZSYdSNTKjmV0="
"In my opinion, it’s okay.","vSLULM4w0rXcCRXqTUCLtloI1J//HXGdIzAzsa5Myeo="
"I feel this is important.","YPp9N1MemnpnFseI+Nddb/jxk7eKixFASwCJaV7wSSY="
"I think we should try.","5nhqrinJhchhL4O9UoZZtMet06xdMKiT"
"I am not sure about this.","A4fCp7gX6vI9HozVpHYgNkAJZu9aC6JZSwCJaV7wSSY="
"I think this is a bad idea.","5nhqrinJhcj9jmY49ydPYxruDShHoZCz8YintPDMfBY="
"I feel good about this.","wUZewCoaHNez8pYhw9lmF3tBTImM1Eka"
"I think we can do better.","5nhqrinJhcg2TuwiVgHo731GmvdOotL/SwCJaV7wSSY="
"I am not a fan of this.","A4fCp7gX6vKj0TijaLJ/U4bS6D5l18Ik"
"Could you please pass the salt?","NulaO/hVG7AmLsK8pmdPL8FdJj7fDQvYMFOEmTz/N2E="
"May I borrow your pen?","88mvf87tGRgF/Kw1M3uqmwBgnfUt0bHC"
"Can I have a glass of water?","KyFtfX1+DHioV03vU9vDaH1qG5yn47c9kmDCHxgUYFY="
"Can you turn on the light?","5uf82NQy4b3B/kEAtoVgu1u2uDdDLNGEatYK0JsMBOk="
"Could you close the door?","NulaO/hVG7BxMbBu7x1i+PmltHEDycvJzx6rK74kz5w="
"Please lend me your book.","QredsabQCbiTdoF0NNbGeQyt7XWXH1V/SwCJaV7wSSY="
"Can you show me the way?","5uf82NQy4b3fz6Y+V4UPzsJB3B3pkT2GSYdSNTKjmV0="
"May I ask a question?","XVYm22g8+DpvwRwA8mwdUI6l9GrSO8FS"
"Could you speak more slowly?","NulaO/hVG7CzAauiXlRJBB6RgUiB95qHA89GHCxFcMw="
"May I use your phone?","PQKznyY+yjGzbWfHxv0oZZXwAjVzWMVq"
"Could you help me with this?","NulaO/hVG7DmuW83JgK5jNTA8Z+6sbqhHAMkCKhk7Ho="
"Please tell me the time.","kycWlBJZknNvSGFB5HZrWK783t+rVgiISYdSNTKjmV0="
"Can you give me a ride?","5uf82NQy4b0nRE7BNrBR3OURGUI9yPPR"
"Could you explain this to me?","NulaO/hVG7CslSSBLA6EPVGVDyWlvXWbfjT7m3GiuK0="
"Please turn off the TV.","kycWlBJZknNgA/yQu1+gUmvQ+2JQMoze"
"I am sorry for the inconvenience.","/SaLIhMbYUbAyAEyp2ap9ExgAaRQfCO57CyVginm73lLAIlpXvBJJg=="
"I am sorry I am late.","/SaLIhMbYUY2UnODNYODNAbhMiN700gd"
"I am sorry for the mistake.","/SaLIhMbYUbAyAEyp2ap9DogORs81oDn/cCtnFtC8ZM="
"I didn’t mean to hurt you.","hvEus81jiBQjEN1/RJ9UlZlU9lUUtuTtE4KUmunYO1g="
"I am sorry for the confusion.","/SaLIhMbYUbAyAEyp2ap9EjjscQXvcy8UOgs/KzF2Dc="
