"Strings","SHA256_hashed"
"7.","a50aa8b9a9806899e1d67d0d09c1ce40221cb0dffc52483e8e6da18ff1753a38"
"The Shutter.","1a3a017d374157e045672cff907a6b5e078bdb3775eb8ce5d94e6d23a62da607"
"The Tripod.","6adab8cf4fb3010a5b698b6413613033cc874023dbadc2cb65878de1b830e77a"
"Plates.","8f8fc24e36438eb980302f80469ddbeb8e7ccc64f521681a11753d20996683a0"
"Blinds.","aa5526249ae5101685876acea18c3cb6de2287ec3833fa807053529938daa6b3"
"Sundries.","22f9b65122138f66733c3b830d1ad728938807389c39981ef01c915383803fdd"
"G.","ac2fa25a0d5a4a7c4af0ba1f23a5d3b9faf2556f1602638191b3470be3b7c827"
"Top","d5cdfcf7ff75338fa974145a13378ee35f7ea04cfabd74b8f5fb6df350cfbcca"
"Pollution Types","c804c5f11c65e86ec2604aa138909c2eb7e52e24a1ab3af264d83d2fde269de7"
"Air Pollution","fc6fc6234f69bf918747f824f4aca8fe86d061e678b0c577dd7b540a91def9a4"
"Water Pollution","5001500c37e32fc82ee06ff4cf24fff7d8f1944164d91f69db959a5d1b752b97"
"Soil Pollution","a965b572b522baeedeb4b4099c0d75b5ec4223c767bfcba9f373ad59c4818cb0"
"Air Pollution:","8c5608c6365114cf96ea7ca15a78fdeee10c4b17f46655938913622e2947a3b5"
"Water Pollution:","b1abb6e57742899f362e8c1fc0f49d547eb6993cae9f4b4604446f96019dbb48"
"a.","5ab640fad553cbf927dc96b8e7878a9844b2fa79b7a4f5c515e186970ec53027"
"b.","191078ab32d6ddd61eb7bf662d883c7e6df3959075337ce4bdb3ce524d5ec699"
"c.","3e542e86a7dd15e0a704ea5384152a859bf8c4de50a10e954c81d0cd9d902702"
"d.","87486c27137a6d8f6ad38bd776988a17362b772ae9fa8801c9b70603edc22f54"
"e.","4b237bf5b4c1ddd9abaa359dfdf4cbbd86f16b8571427e935f006e7c9291c48c"
"f.","5980a792ab44dad00e4c67598fe61dc5fdf46bc02dd9cec9dc6ef6ba6d817db6"
"g.","fc3a6817bd40089b33ad3d1f28b33c79e99f90a060dec16e04bd19da27d90fbf"
"Noise Pollution:","6b8df537ef9d2d34d8de62ad156809a616421435df44d0137c43b0731d63b87c"
"Global Warming","26d408f2f628cb4e9fc5d6bad3c6f84e97e229919adecaf2bbadf355dcf169af"
"Believe.","770b3591f8002e4b77920b50c91b87a4cdba192b9149e9b744d1f6a4f5d6b72c"
"Inspire.","9de9dc4fbfd50eb7d129ac8b8cd3e321ebeacf1189aef45051badd59cc458868"
"Achieve","db120c183e01c7868c19c5f824ac19c48a6cdc1a0bc44cd9786821f4a70ca113"
"Succeed","2ea80f73c57542356c4981157fd03038ca7f2857615cf5a1b45f7e8a5039371d"
"Focus","9d3cab2b5efed4eaef42a707dbc813da2ffad53220aa713b5f3c950596fe35f5"
"Learn","ce78afd0e6a225ecac96a6812b9d192e7eb35889cd5237beb38b50375b79d8dd"
"Create","4759498ac2a719c619e2c8cf8ee60af2d2407425e95d308eb208425b2a6d427a"
"Dream","c6d5ed757b66bfd3147a10410e0922b701baf55c401a1491e314d65fba08d15d"
"Grow","b97dc5270c1705f5434e0e4a1f245eb1ff9dbbea8ae075dc4166b49d8eeda70d"
"Shine","fcdb859f604ac53ea233afd282548e9a3040567af0e57810a17c8cb826d70885"
"Smile","0a57e9fbbc4ca60ad5223fc5cb9048e3eafc40f40f52fbd13408a1e9bb4d4c30"
"Hustle","ffafaee5b6a277eb01b556ff1af2a4dd54f73cb4f1eee2d96a98ab9c7b2221f9"
"Conquer","bcb594dc78723e4d77b537dfc58bf9225fa28fcfce93b46526c53ae987139d30"
"Imagine","7108efeda67ae946394a0cf0f5b87522c2dc45204ee9cbd9e1118477e2984ba1"
"Explore","3b73900b8d29f963dece78edd4bd9529d855e50f2a3fcc39b3d66cd657630905"
"Improve","d217751edc5d96cf502277e6e292a95adfce018bbca3ee112c76be6896a87171"
"Love","9f4024faec10ef6d29aa32d7935d94b1a816fd4fe0359fbf12d49d44b5ff33b8"
"Thrive.","389ddb5250bce3dccf7b57cd8fc6ecd0ccfaf1eff0edac0ff1320b32c7ee2d6b"
"Endure.","822ceb0e4bc563384785118143d868a68bd3bd7eab98d145a3c42d3cba9e5d1e"
"Overcome.","50c4ab06e41783c514fb50ef7f47b25d9348df71f57a613421f678dee4097546"
"Push.","5648beeabadd18fb4543197073903894d5adb6610443db2b78805c628a3c1afc"
"Strive.","fc55d9397aa2a3b7a04645b8fc58284001f6caa02cdba0a748aef0a8dd2b41f0"
"Rise.","b5824c57026153701004b7926d74a087612c352edf1a59ab58cbab7c6a988f01"
"Fearless.","73ba106639b817120228b9fcff2fe34a5d91313edf93b7813475b9b6e3c3ccbb"
"Bold.","b1e13cbf5ca506bda5ecbe30b7c310356a91d0948d49e84bf1edc541814f1270"
"Brave.","af202ebda076f42d5939341539805c89db55a5b90280542881fed150d375b18a"
"Victory.","1533cb2dc160407451f4cc5f632cc4d05fe654f567816aa42db0c3ef5aa8818a"
"Relentless.","46020d34a2e8f73442daa4ef837626580ac283ac45a18d937f382dd4efaca4f0"
"Unstoppable.","e7a7d66a39df19d6e806d24071469c67595a436255e6f1e6f259cbe22897c84a"
"Freedom.","87cb81747f279e058b782fabe2d683dca722e6c887b228d342143933df78d173"
"Limitless.","c3ade6926ca8c46da85b99475a4c3983578d16992b05495dbf25a2c9de10ccc2"
"Unbreakable.","be095305d264d44c0deec296fb262bf32f9c0138396c4253af28ae8c62163abd"
"Resilient.","936009fa873261eba4c05b27a413b98b15255a33912772fd3023dafa45b9fd80"
"Elevate.","161c04b6ba5e1764cecfffa4066a8e6c88f3ca36101a9b3150c2ba2516897ac0"
"Dominate.","217b2c8bceec711afceda0dda96c5fdfb06e23997b961395172ef641dc818026"
"Excel.","c4f455ecd356f223719abcb57e84c8db3f58afed06022f44071d562dc592d497"
"Innovate.","4fc99e8e2f62ffb85777ecf61089428da07fe9dd5bf7b2a86e5ea57cc5d5f2cd"
"Encourage.","bac4cf640c19219c8c394da18ba52ebd0569f2b04f6f280eedc06f7c891af630"
"Motivate.","e4578df29c8430f82ed0cd530e98d54c8445b7cbc0b9b0e465f10f9680baeb13"
"Strengthen.","d2dc06525818c554c2337519eb1d46bc5cc9522e2481903b0842fb5ed0570d06"
"Transform.","af8775f607f79ca7befc1431cf1df86d3b6b7539160ca656e1546db3c686781e"
"Evolve.","2c93286a78513123000e443c5bf04f42af3740a2f17251fc12cce75bb022943d"
"Ignite.","3f69a72e0061a1db2d955d1023208a8b81afaf1cc1f72d9a62884b0f12677bb0"
"Radiate.","afb1521aa8169ef9d3cf0237a1f8bd45217e6dd4f9d7bedb9efba7f55c04ac7d"
"Embrace.","0f0108b783e51b546325083c208937f9efb385f570324290932c8dbfe065c4ec"
"Trust","ade9248e0132b4112c81e94cce392e1068029bac214f23c79d10693e781a16f1"
"Persevere","b419f7b636cd0ccc1d03660da749a5fb7338c6f32abf421876261a85c3ff4def"
"Motivate","d1934cb73b7cc3deedd0442eacaa80c165c8b129d51a99341a2c0a9cf8099a09"
"Lead","645978287991a6f40bcaf5840f5653b89b75b3bd1ea78cf9f39192e2400ac23e"
"Adapt","0c01219fa815768e1d764b59ed40107d830aa87237b4681ac3658a857a426109"
"Progress","4664827f8e89019280ba99cd889f9ea31eaeecf6fc1bb7541c4a0e546685599f"
"Courage","c2bd645a5905bf7c47c926982cff59e2d49a592bb0d073c80ee273b9d827ef8c"
"Strength","63ee3a1b965a7bd2581227dff2147a504c3b0926f2120180630fdfe2fc1a5b77"
"Persist","7e8e414d91c629acdbc5398099daff6e64ddf881d2a1ff82949a142a413c311b"
"Win","b980a145c5e8c9e233a0643366ba520a67e98700dd5c552d1bf44eea555a7dcd"
"Transform","d2d68041b53daa7577b38494eb66792f9bd9a3450f025587347a00610c67fbce"
"Inspire","720b1367abf783c2f1bdc8602f32ec4e9ef3f828b8afb9d897413983cb5d78c9"
"Empower","332e75fdb8e669276539066c3b89083322007801d1dae59947c2b6cdd0243816"
"Elevate","1ddc1dcc7ccc107b87f549742d881da74d877d697e6f2ff7061ba8e5c58823ac"
"Stay strong.","e9843077ea7e0e1252b49632b07486b779e7076d6d713749b356be635d33b9cc"
"Keep going.","8fc6411ffc04a8f3561a621f7d2a957332ecfd357643c78eecf950dab867df01"
"Never quit.","7a84055add2b020e0792a6640068c04c329a688e81695763386122642fd4672f"
"Be kind.","5499befb38dbf3fcc08107141cb2a9e7f42a6aae403361dc3601b8296d7967ea"
"Dream big.","3d5658f66402da733906bdf1eeb1de283a2876b43811d100cf5ca74ef2254f16"
"Think positive.","16e12989ce6234bafaf0e1b179b039add770ac79b85d5175f8923f6ef89e4006"
"Stay focused.","c1c8cfe72f95fa1f22b522a72f39b6b16a1ddaa31ee692aedebca35cd30ab195"
"Believe yourself.","12c7add1173db8f719edd76e43b199a133c9791e4c65783ade512bf1d6b626aa"
"Work hard.","6a2d92b4abe711b177a7d7d6f6cbfa1ee82bf078e8d53a823cd03c64968a7435"
"Love more.","55425c309667b669b188f46af395894aaaa0dee358c39f021159db449672a980"
"Stay humble.","93e8316a6bed9999bfb892424a6e07ef58b9950b20f09bd31997535b475e7e75"
"Keep learning.","44b54913a5ac41462db9d8b0de41ead5c968bb900a841aa505896b5b5a553ba6"
"Trust yourself.","d9df7582f2658cd089df273ac54a48bce0e11131b24d2bf439e8f99bfdacdd1e"
"Stay patient.","51e5e56d4dd7d11512ab95d3d090bf905284fef1df175996bf5f6f09726a72dc"
"Be fearless","c79bdd15f179ce1a33355347f5a69b710179c81fa5418856f5669f8840d14634"
"Enjoy life","6bd16acbe3e62c2611211309134f35c2d1986d86502b2320209605b583985167"
"Take risks","fe3b9df34e6585435a72e38811ff0e89365ebba13e9cc6300e298eb5c7f71ca9"
"Keep growing","475b29f9ce1fc32d93da0869e5162279173d1f265082cfd3eebcd67d0055781a"
"Stay curious","87073e9ed749905b3bb304f34f903b51125f85010cbe07ad56c38bf9efd8a14e"
"Stay determined.","6213ca3b44e018a62404dbec87af0af8f68293ab2c5ebe7a1d597664f7f1e95a"
"Keep smiling.","fd6a79718afc4abef095a8f2e058cf4a2498d2d76051a87bbba493d1f880af7f"
"Stay motivated","629bb484d1ce69b386210d77a859a4d3e5d84cfd09d91776032978a5d212e6de"
"Be different","67250e06cfe8c40621485f5b75e33ed88a394fd90c486e3f09e9cdd3490ce17f"
"Stay grateful","2517a56c40d2562815b49693323cf4a7609a6af7ce09d7f5bc9e625cd99aebfe"
"Stay disciplined","00152bfdb7542ba1ff4c47730eae74496744e313ec34321d12112091828974ee"
"Think smart","f49574168dc0d783f15db84acc5d31f5515f62d71362a5f576d5c64b4986dd64"
"Be confident","208970fb8d09fe94895d4ce4882680fee976581200910a885f24ce1d3999baac"
"Stay happy","41a5707c7acbbb466e3907aba446b00170c417fd3dd70a3e27b95961707b8254"
"Stay inspired","64445e0567f58406260060e6bb8bb06a6da01ef00803f4e750ea5e2974646c05"
"Be unstoppable","8dc02bbb9686f77d94478169e7d4acf52bd2514fa760ea980ced04cd32be1200"
"Hustle hard","43149b26f096b2e8abad8ff8a1effce97bb3fcf9bbc19e454dc40b8c72d42508"
"Stay strong","08d62d15ed688bdb53d11c659eb50fce2e66402d87dcede147886d108a6bc57b"
"Never settle","1c8095d26c03fb1128ff638fc7c0500273d9eefb06c40f4f5b504b82d2bcf163"
"Choose wisely","6aad63e041036876def5d3153507d32be9da517dbe6fdef9a2dc35a626aad3f0"
"Stay active.","36859722daa15c7f3b214fac67f4fd0e095ef1666ae05f3cc8d4734501df667c"
"Act now.","7b546c35d1ae7e7d036898624404571d1b713f1aa68beeedaa8ab6879d830a62"
"Keep pushing.","961143707c0be8d7b4e9fdce2b0393c7ca4015daccec5eeda2f9e50ca86dca5b"
"Stay positive.","9c988c47a031acbabf44949ece976a53845cbe20b6e5d2bacee65a9f25dd7080"
"Create opportunities.","94d70c2bebdcf7381b6184b743ecd3547401e1275dfae88b487b4617996cc1a5"
"Keep moving.","49129b7b49ff85b7b3967428d3081b3d986eb777600b8c20c719705205d4dd5e"
"Work smarter.","e896d9b55e911948d8e4613c566df49bfafe1dde8bc69317afc9142300d29554"
"Stay consistent.","3b71ea5820aea1a9374a83651c09eeb18f9f6ba23e572e2f0ee289e221cbd77c"
"Never stop.","cd94f4ca2d4a080ad4018746b169ee6ad865f13235b8d7a68f29baa5f2c88d84"
"Be unique.","dca043e5cc410bacde1a3413ce78ba8276687f9554619cbbf9b6557fc61732d2"
"Keep improving","dd5520a3ae790b8a79ed7f5285267f4ec96bdd7dd04f973028d0c0dc9371db4d"
"Stay resilient.","8e2a53c5fe1e6f82c622c835a2b5fd2f9619127cdae72d6e57c8b12de27b6086"
"Keep believing","0424e4d1f686a650295dbd5acd6de3cbca3c0a2aadac61e79f847fea91724e4f"
"Stay fearless","63fe369ce7883b7b3c89b75ce21c2159a9d67ef2a79b8c492bd12d670d41dc08"
"Make progress","b789226a9ac81ccd58e1ac741fd52515154516196e0ba0379cdd5c1dc97b8d02"
"Keep winning.","31f1c3ef85515b858c9653d30e61bcb9329663642a80835723245323e524c535"
"Stay true","18fbeab61e8323e2d47d158902f0129f5e479b9e2bdbf467ca7543c779ded806"
"Never doubt.","63daadfb81b465383220d68d3434b781f4adbbe99067abef3bfbe9f0953543ae"
"Keep shining","044d39264c5125a185fa29fcf51288039660a3d6a9b2a5b130f024c3f283585f"
"Live free","1f4685f135848174cdc2e1e88cbd7dc8a64d79a8aeef3d4327f3252e52a034fc"
"Love unconditionally","5ee17b7fedc0d51e775e3e118478440873925c9d35acf89bb014f69cd74f811f"
"Stay unstoppable.","4993561c15770a179ce91f6bdcdda10f2f9a9e2142b9d2faabde465e0064d863"
"Rise again.","5ee2f91f27ac04ed8696b279f9f3d69252a71733ab4c1be7559a49a7924b1e1a"
"Enjoy moments.","ce7d541ec7a02f608e744fb5c0e03314104f0edc6dac9473bc470738b74ba770"
"Embrace change.","63f7b7aabaa35740a073a0357b3bce1ede5449c667603080b81abef612d4a7de"
"Stay powerful.","f3e13597f525fadd0fa5ae4c5fcf27797655fd95a4137f3f71a5e75287cc030c"
"Keep trying","d5593ef1d8f1ec92ba584008e5556d8a46baf2c84f3c4b09b43be896d5890bd9"
"Stay real.","e00d54a99a5788c2c667fcd8c05c9ee817d68a08cf12ccd4248a76b0642eca0c"
"Trust fully","37558aa6b396b68874534aa9d8bc95c98955d5c4c26789158a3cb502dd5ceff3"
"Keep striving.","af6b29e9b332d297122c533e0b88c79c56eedf477c44489592ea4bbc48be8adf"
"Never hesitate","0e390877ffcbb08b3c5c5ed4fc4c2fbaaf0d4a97c7a3e0edb1346df039e555a6"
"Stay adventurous","24bb963b91621df7eca0b76d7c571c7efbbc48987618ebc8f93e67b61190df7e"
"Keep pushing","e033eb96274ab2136c0ad7681e2f9b3235105be6a434163e874a39aca6cd71b7"
"Never fear","a0d21b5241c8e1579ae4a5251f44d9efeb1ce72f08dfe8114877f3d1e96ee0b6"
"Trust life","cb34d584f3997460c4b43c6b1451a07efc630f32cedb77eea94526da8b3b0c87"
"Love yourself","f0971e422c9d6349f9edacfbfee027a2c5e3f9611fa46253dcb6f1463a0f03f0"
"Stay hopeful","1625e75cd53c24d663df273c08592f425212f8a1b9551626f98be11199269a41"
"Work hard","65e75350b7de8b262c6aeffdd97caf6cb07fe5025b719d167c2a5ddc1081faa2"
"Dream big","5b71c3961f6b1f4c3b6e1ae2fa246a4065fd58c227bf04030d8ce3b0d34d8a2d"
"Keep smiling","d39b4f873210de5a547852b7a7deba611ca685d3127e5b708d408386db7e389c"
"Stay patient","3bbecd53a1117c343a85839df7f9015217e096a746c3cda9f8ea8463f208d148"
"Move forward","03244d3bb2b077f21793753b07bfc03706b1a6f8db558eaa8e5cad0310cdfa9f"
"Believe more","05469da23b0b5ba61282848450ccb2e86425811c3987039939bcae65b7583199"
"Stay positive","c548a29312b3746966f0acc5215f5b4330f1abc4bc09c8005fa9e7c095bf1b33"
"Think wisely","e7526d4d9c63edffbb76b6c512d49db78061e56218c4106d9671d53b5ddfb0de"
"Hustle daily","e4700c59d0f79e9abc60a90115181969152f13d24fdd4ae1889f0f7ba4acaf32"
"Choose happiness","a0287866a405a0ba2c327aef92548827cc0d4ec16e1771b298fd5cfce4f797d6"
"Hi, nice to meet you.","a03f3e107636cd0b4c9c4a9fbd26e6fe242118d8295d29de0ff4c36d781805c0"
"Do you have any children?","c9aca0e4270481ceec626b9da863d8c54abb39d2494cc59537bcf62086f4c18b"
"Yes, I have two kids.","3b33f08ce7d86cf3f98096a8c5710435a807f74a3b28ff4617ed8d78701e69de"
"My day was great, thank you.","f947b4321448353abae14e1f60f21cd26b4c51b2a7050eb0fe77a2c59751d09a"
"I wake up at 7 am.","d2897b94abd633c2054a73e7669af1112cd49d9607ee91603d14a3fab4fb6007"
"I drive to the office.","04834f88bb5fe89c10dd8c6f232b20a654b1c658774db8fc32b8bf77ee11944a"
"I start work at 9 am.","71e9724858be196c31d5599e93fd614311a446f5bfba3388533751e4073130dc"
"I have a meeting at 10 am.","f2ef4e129239101f3b3782aa45e360a9deabfe09d9cfdb48697d7c443227762c"
"I take a lunch break.","092da14eb7ff84d9e70e9bb9920ca9492b3fc41884b8119a71339c7ed07b6a8a"
"I eat lunch at 1 pm.","c6524e72340f31e4e6d8bfa04b3651a999f15b6698c5da036b49e3c3a6bff58f"
"I finish work at 5 pm.","297747d7aa9c585834aed5dd9b601a4e17bdf70476757fd00be3d0189dd72e8d"
"I go to the gym.","c2219dbd0a0ef8f8e96b0de17e9a1156c6689ceddcc66acd4a2f9a9192af191d"
"I exercise for an hour.","c78aaf52506e08245f94114db0ba61b2f6491ca8814f245901e9803924da1526"
"I go to bed at 10 pm.","ecaabd5aa087d4fac375102eeb11c266f28a49951cc8b595273a892bd48303bd"
"Where is the nearest grocery store?","2a344195958056a83a5611c905ac3fc4c7636116dacf5066201f597e59b9c982"
"I need to buy some milk.","105a80a8431170de7ac51bf7dd47a8686f94694e2e12b8fdb4ff75d2f197019a"
"How much does this cost?","72ca21eac47b0e6c2e839391669d2c3e18546d542f3885bfa439a592074b4aa1"
"Do you accept credit cards?","a218845f562aca46c6ff24da68c6c310bcd5933e3612f0874524fd36e2339c20"
"Can I have a receipt, please?","513ddc0f179d840ef3577118a7896eb33c058e06fbd5ff6c6b2b7a2fcbb923e9"
"I am looking for a gift.","895c3f60edda702b0e811af0d84385755448b2132a4bda567f666d00e9cfcd68"
"What size do you wear?","f2851d4bfec269b613a83497ed62cc1f64191ce02851bcc58d924546949f8e51"
"Can I try this on?","dcb1fa2585dc2bc27f61dd4aa7a36e7e16d8660d32d530051ac915676a455848"
"Is there a discount on this item?","4040be821b34f68162df78ec162f3727e60759d3bd3ba22917be3f6d6eec4f4c"
"Can you help me find this product?","fd9be98e14accd5d7f42c82514739a86913101c2acdea39a93996b29b7376b61"
"How much is this in total?","4717325d88dab3d9c94f9ce7387d9754a7d2366ab0cc5002f50cfeb0bfa08a37"
"Do you have any offers today?","f71bc70aada17c7443d3adb67714fc27456086c41f41fd970a724b2f3283ef07"
"Where is the fitting room?","e42ba30a9a8890d5a5becd667c06ee27726c170d56190f0b250f69ae7ff537c8"
"I need a shopping cart.","b3b143e9160eaf92ab5d34e1e18ffe606eb4599658aa255f7de8fec8c54278ce"
"Do you sell organic products?","833c4cfe6b4f5abe836290d0f09b09c783229c54d71d3305e99f86d7f994ec87"
"Can I get this delivered?","c5f756ff839fb7301939c1bfcd8021ca260159cdd870123b65598fd4b854c199"
"What time do you close?","44c56b89942cdcbe8a4e102cf978878315d9d98cf36de2fea68b28cabd2cdcef"
"I would like to return this item.","4801c82e859d1517b7dd78ba935e58670f85325bb4770d3ceaaa1dd0965239b4"
"Is this item on sale?","af9b39d946a874861279dc18e587e78910e07de76573943a4a26517a025f573a"
"Can I see the menu, please?","574b2d8754e269f5853f274c3a7755f668751c6b94d64418631f97b53d5542a9"
"I would like to order.","42c4865db157789f27d65928200943eb29144ef5d62a3ca42cff5605956cbc68"
"I will have the chicken, please.","b397a17a9a6f9e23997a653b4d265c50a6986788ed51664ed8ab268aecae54d6"
"Can I get a glass of water?","76f310e71478118d575aabd7d341b81d54b3bde12ec8d231ce6d429b611a60fd"
"I would like a coffee, please.","e7fcc7e648aba167060ca5976e5464f37e642b63f609f7142dc0bb2cd5975b37"
"Can we get the check, please?","3b60373f82c734989fa9b70c2269f9e4c915d7d01928c43748a42a73a24fcbc2"
"Is there a vegetarian option?","19a4057beb0bef60c85caccbef5d3ee7b517e99ee12ad4d99ae9c59b336edfe0"
"Can you recommend a dessert?","52176c82e6f5b4b6cfa9f46669c3fc7531f737434e0c6711467138ca4ffd9086"
"I have a food allergy.","40696e251a705908a44eec99e3aea46f80c84e75959a9853dd6f145b0321b551"
"Can you make it less spicy?","8bda21ffec2ed8ae489c40ed6b117b67827eeba255d1f24a9c68159f0b24dfdd"
"I would like a takeout, please.","7f8c0a41125ca9afff5e3047e80062f290521c648dd1412a8c7c95f4009f9024"
"Is there a service charge?","fb26040289fb64aa22b905955247c7b2dc34a95d92763aea9c0972718cbbf0f5"
"Can I pay by card?","73a8c75d9fc0608c53771e6cf95bcfa7417cb0b43508712afa269eae37561cb4"
"Do you have any vegan options?","7659d31819be0475e7805ce013f7304032c3bc56326e6e51c8e5b1c266efa302"
"What is the soup of the day?","5049206413eb76ff53514179aa92da84441b4d8c1eabbe5f44dddf4f16a5424c"
"Can I have some extra napkins?","f50dcb4c5fb60bf487aa220671aeab1336c29b4a6373a0bdee16836785fd942e"
"The food was delicious, thank you.","496249d2e2fa2634516022c9df3f9841462614ae9508baa4a9c5a551f59f58c2"
"English Sentences on Asking for Directions","f28eae533fd314b4690aace9bbd26930a5485834eb060d859ba7e7e59284861c"
"Excuse me, where is the restroom?","7c42394057b51ceca1745dcb2f9a34d917a37fd429b5bbf382f7b118e12e104c"
"Can you show me on the map?","c868e612ffe9b02d2b6d7ee75c4e60abad72ba4c595b9f88fd0b8695ed339245"
"Is it far from here?","ca30a5afb5127a970f56ff4f98800360c737f93805e2524ac943381592ba10d1"
"Which bus should I take?","12db29a88d3d3a94076891fd82febc32dd82ec9dd4b254185340c97fa7265bbe"
"Where is the nearest ATM?","f4b70136aaef328ba1bf6f93e025f8670aa1997d980a0aa58e17a74c507abe81"
"Is there a pharmacy nearby?","aa5c578d4929c1a85eed87660faf5914de3b64f957ffcdf50c0a8ae0cd366b27"
"How far is the mall from here?","d4af689030f98c1b4d8e4efbb6a0eb3fb7ad94c4c867a8f3c91a72eebbb98f1b"
"Is it within walking distance?","293e1c76091c6f5cf179d709ec5c7a7e83bbc6ea91c6187c5500b976fab7dacd"
"Where can I find a taxi?","d320c4f493707b974c323deff41f83b6557995620b8b0e456f81aa08e8188009"
"Can you help me find this address?","64f7011b4873b7dddafa275190d383f3b83830a0db5ce65409f766420b1c390a"
"What is the nearest landmark?","e681f047df719ce888a840a93ea3889ab799236db24ef038cbdf58779f61ced0"
"Is there a subway station nearby?","c79cf72d72eeb0d9c3024bc72110ad6ce0ebb7a2313d8e108ad097cf9cc5e43c"
"Is there a parking lot around here?","5174a62baceed54f88ee7940bb8a911f3cd58aa5678bda067bd9153e03acee66"
"At Work – English Sentences","e520ef2adf5f171ecb1ba107e0d846caf38d4e1980877feb6228bc75b70cf681"
"I have a meeting at 9 am.","db0b74b24c62de0a29763daea3b928a7445f0edb5adede43829aacbb61044f27"
"Can you send me the report?","9617bb5bd4f1c4ac54f6a6e56072a273b0626fbe8aeeaa2e2fee65df94054774"
"I need to finish this project.","21c10dce13ac9e306e060f7c1681bde644984f132be35d039d034a8a07b39210"
"Can you help me with this task?","0e3cf705dd9f640d7d7b9ae55be9e3326b9090a27c459f9b7a976f8b4240492a"
"Can we discuss this later?","cf58fbbee84e55df9231aaa2f40436e87d3bcd6c47c0b9119f912bee06989da7"
"I will send you an email.","6768dae0960468ea470f8adc1e62f2d6116bac29fadab253be7df94e1f50c358"
