"Strings","ECC_signed"
"It’s breezy.","b'0E\x02 `\xacZ2D\xc4\x8a\xc8\xcek\x85\xc2j\xc5:\x9c\xc0\x94\xf5\x12\xb9\xa2g)W5\xa7}j\xb5\xf5m\x02!\x00\x812\x80z\xd1M\x86\xca\xccQ\x93\n\\\x00\xda]\x9f\xdc\xc8|\xa2\x01.j\xdb\x85\x8d\x0f\x15m;\x7f'"
"Altman added.","b'0E\x02!\x00\xd2\xd7s\xd2\tK\x93=\x88\xe7;?~\xb9\xab#\n%\xaf\x16\x8bg\x18\xc4\xbd?a\xc7\xf6\xa9n\xba\x02 \t\xad\xfb\x9d\x88G\x92?\x83\nq\xf5\x95\xecq\x9b\xc0N\x0c\xe9\xf3\xe4h|\xd7\xc8Z\xa0`W\x84,'"
"AI Assistant","b""0D\x02 M\x99'\x9e\xaf\xe7;\x87\xb5\xbdo\x97\xc1\xb5\xc0\x80\xdc\xbb\xb4\x95BCM\x0bB\xdb\x9a:\x99\xa9Y\x8c\x02 \\\x9bf-\x96\xd5#.E\xa8\xe8\x9dTX\x19\x16\xfc\x1eW\x08\xeag7\xe7=\xe9\xba\xad\x0ci\x05#"""
"Adobe Acrobat","b'0E\x02!\x00\xe2h\xe9a\xe5\xd8\xfc9\xb7M\x92\x1a\xce\x8a.\xd7\xa8\xd8Wu\xa3/\n\xff\x96\x84V\xaa\x15X\xbd\xce\x02 *J&\xf4\x8e\xd0\x88\xb5\x1a\xfb\x0f{\x97\xf9\x90,\xe1Jh\x82\xb7|\xfe\x15A\xa9\xf9\x94\xd5\x01/\xa2'"
"unischolars.","b'0E\x02!\x00\xfb0\x8dS\xc1\xdb\xe3\x089\xad\x81\xc0C\x0e[\xc8XL\xa5\x81(N/\xec\xe3_`\xb3y\xdb\x8a\xd7\x02 \x16Z\x15\xa4\x16k\xbcdr*\xf6&\xd7\xd4\xab\x1f\xaa\xb7\xa3\xc0\xe9\x8d\xc57-\xd8\x15.\x15\x04\xc8\x95'"
"com","b'0D\x02 \x08\xda\xc9\xef\xdc\x99\xbc \xf5\x8f\xb1\x1f\xb8\x92\xef\xad\x9a\x84I\x95\xd0b\xc0\x03\x15\x7fb\x16\xa9\xf6.\x1e\x02 \x11q\x9ey R\x9ek}\xf3-\xac\x02\xb5\xf1b=E4\x1a`\xa0\xb1\xff\xe10R\xac2\xa2\x12\xea'"
"Ad","b'0F\x02!\x00\xe5\xb9\xee\x86\xfc\xf2\xb6:\x96d\xcc|\x01\xb4\t|\x19\xaf{\t|~\x15\xed\x1eG_\xae\x82=\x98>\x02!\x00\xa5-\xac2\x1d\xddT\x154\xa1~b\x10Oy\xff\xdb\x88\xbb\x07\x8b\x88\x93\x8e`\xa8\x06\xde\xe2 J\xe6'"
"IIC Lakshya","b'0F\x02!\x00\x8d\x05M\xd5\xd1I@\x94KE#|\x9fQ\xf7\xbd-\x13\x1c\x13\xa0+\x17\xd6\x07<\xdf\x9aM\x03\xf8\xcd\x02!\x00\xa9\xbc@\xb3\x94\xc8k\x80/}\xcc\xccm\xf1\xda=\xd9}iD\xc4p\x9c\x11\xff\x9eZW|X\x97#'"
"[Bird]","b'0E\x02 \x12\xaa\xa2\x10KT\x1c\xde\xe0\xeb\xa9\xbd\xec\xa8S\x83\x1d\x12\xd0\xcb\xe1\xcd\x08z""\xec\xab\xdcUdIv\x02!\x00\xcd\xdb\x8f\xcf\x05\xa4\xb6*\x17\x87\xdc,^\xb91\xd5\xf9\x91\x81A\x96|\x8b\xb4\x87=\xd7\xde\x8dn\x96\xd7'"
"6","b'0E\x02!\x00\xab\xc3\x8fmJD1\xff<pr\xf8a\xfd\xfa\xe5v\xd0\xea\x9f\x8d\xc7\xa5E\xb4u\xcd\x11\x9e\xda\xa4A\x02 9\xe5\xe2\x93\xc9\xd5bVc\xef{\x92\xaf\xe7\x81\xc6K\xd4\xefd\x7f\xee\tV\t\xac\xbe\x07}\xaf6\xa9'"
"The Camera.","b'0E\x02!\x00\xffM\xf1\xf0\xac\x9d-\x1d+\x95\xb76\xef0\xc4\xfa2\xff\xa27\xd4\x13Z\xaa]\xf1\xcb\x80\xb5<\x0e\x91\x02 N\xd7l\xcf0\x88n\x0e\x9f\x97\x9c\xcb\xa7\x8ab\x85,oHB\xc1\xac[\xc5\xab\xa3\x8f\xdf\xfa\xe8,\xe5'"
"A.","b'0F\x02!\x00\x86\x0b\xd3\rY\xa0\x9f\x87\x03\xb8\x9fW7\xcc\xc2\x0c\xcf\x0e5O\xc5\xe3\r\xcb\xea7-\xca\x9c;s(\x02!\x00\x808D]<o\xcc\xf7\xeew\x06\x88\xb4U\xe0\xc0.\xfa\xb5@qI\xd4\xdf\xbadc\xd0w\x1a5l'"
"Mr.","b'0F\x02!\x00\x99[\x06W\xfcu\xb6\x85j\xdc\x8e\x87\x1d\x1fv\x0f\xc955\x9f\xba\xfb\x02\x85\x87\x95A\xd0N\xc8Ec\x02!\x00\xad\xa7o\xcd\r*\xd4m0\xc0\xad\xb08\xd9\xc9\xc6\x8f\xa6s\x1d\xfbO\xb73&\xe8\x8aGP\xb6[\x05'"
"The Lens.","b'0D\x02 T:t\xc3\x9b\xec\xf4U\xb4\xad\x99\xfc\xc3\xc9\x17<0V\x999f\xb6\xf6\x85\xdfZ\xf93C\x14\x81\xa5\x02 B?5q\x17_\x9e\x0f\xd4p\x83\xcc\xfb%\xa2\xe1\x86\xa4\x1a\x8e\xce\x9d\xc0\xfa-\xb0%M\x9c\x97\xe5-'"
"6.","b'0E\x02!\x00\xd4i\x8d\x1by\r\x12HH)\x1fN\xfe\xa1\x8d\x84\xb4\x17(g\xe4d \xb4""\xa7\x19\xcb\xf1#\x01.\x02 C\x9dgIV r\x0e\xb8a\xd9Y\x91\xc6\xcb\xfa|\xb1\xbd\xd3\x9b""\xc8\x01\x11\x93L\xfd\x92\x91\x95\x80'"
"5.","b'0F\x02!\x00\xa4\xee\xf7\xff~\xd8fN1\xcc\x17\nN\x06\xe4\xe4\xf9\x12\xc7\x9c\xdcx\x86)\xa9TdX\x18\xcczf\x02!\x00\xcd L\xd9M\xda\xb3}\xd4y\xe3\xac\x8d0\n\xa5NuO\xc7\x06\x8bT\xf9x\x03\x83\x8f|\xf7\xa3m'"
"2.","b'0E\x02!\x00\xaeD\\\x901\xd1ZfyHc\xd7=\x93\xc7\x02\xa5\xc5B\xea0\t\x14Ln\xdbc\xda7%\xb7H\x02 =e?w\xc7\xc2\xf7Ta\x8b\xac\xbe$\xac\xa0\xd1\x9e\xb0\x96x\x91\xbe\xe8\xb2;\x9c\xa1R\x11\x00\x1a\x82'"
"1.","b'0F\x02!\x00\xf0`\x16\x87\xae\xc1\xa9W\xfa\xb8\x056\xdb\x97\x84\x80O;)\x9d\xb5\xc9S$\xf9\xcc\x11T\xc2R\xfc\x05\x02!\x00\xe7\x8f\xe3\x19\x12\xc2\xec\xc8f\xf2}\x9ad\xb0>\xcaqp\xc8\xac\xe5\x84\x90,#\x9ez\\\x98\x84\xf4\xa9'"
"15","b'0F\x02!\x00\xe2Z\xce""\x80\xfaDt\x96;\xd2v\xf7\t\xad\xc7\xe3!\xe8\xbad>3Gp\x1c=e\xb9V\x00\xc3\x02!\x00\xa7Oy\xe7rt\x93x<\x1b\xf4\xc3OT`\x0f5\xf2\xd0l_\xcd\xc4V\xe5\xfc\xc3&3\xec\xbc\x9b'"
"3.","b'0E\x02!\x00\xa3\x8e\xa3:X\x85\xa3$Y\xcb\xe0\xf4\xb5\xd3S\xad\x01\xc9\x9d\x85\x90\x9b<6\xa6\x05\xb6K\x11T%2\x02 .2\xfdj\xe4\xe3\t\x0b\xf4\x0c\xe6\xf7\xcdW#\xf9C\x84\xa1\xf6\xcb\xfc\xfc\x94\xf6\xed\xda\x01\xa4\xdb""\xfd'"
"4.","b'0E\x02!\x00\xa5L\xb7\xcda\x99\xbc\xdf\x85\x05(\xd9o\x1a\x97\xc8\xbf<dI\x84n\x9f=\x07j\xbb\xf6\x12\xfd\xc59\x02 \x10A\xf6?~\x97\x92Ok\xb4o\xd1MZ\x93\x9a+\xa9K\xe4\x01\x9d\xd97t\xc2\xff\xeaB\x04\x9d\xf8'"
"17","b'0D\x02 \x1d\xd8?\xae3\x96i\xce,9\x05\x93\x86\xe8\xac\xba1\x914[\xd9@\\\xa5\xb3\xc8\xf6\x0cb\x96\xfa;\x02 T\x00\x87_\xfe\x1d\x82\x9c\xc8_,\x03J\xa3\xddP\xb8\xe3\xfa\x81\xb1\xbd\x9b\x8e\x97c\x7f\xd0O\xd3HS'"
"18","b'0E\x02 C,-YC\x96]\xcf\xbb\xa7\x91\xbf\xae\x02\xb6\xba;P\x0c\x12,,Q\x9cpc\xc4a>G.-\x02!\x00\xa5 v\xffF\xa8h\xd0\x14\x165\xa2\xfe\xed\xcb\xb2\x0eEf\xfb\x02e\x1aG\xbf\xba\x85H_\xfc\xe8l'"
"7.","b'0F\x02!\x00\xa8}\x07\xf7\xd0\xb1`\x01$l\xd4\xd3\x19n\xb0\xfc\xb9h_\xac\xe1\xcb\xcf8\xb6\xf4](\xf85\xc8W\x02!\x00\xf4}\xbetP^\x14\x19If-\xd8\xc9t\xdc\x04\xe3\x0e6Sl)!N\xd5x\xb1qc\x83\xf0\x87'"
"The Shutter.","b'0F\x02!\x00\xe8\xde\x03\xd3#\xc7\xfb]b\x85\xae\xeb\x8a\xf5\x15\xb0\xf3;\x9f\xc4\x13\xc6\xb4\xb7\xbe\xae\xb3\xd0\xbb\xdd\'\xf7\x02!\x00\xf8\xa9>\x0e66\xd5\x1f3\xec0\x1d\xfbh\xeb\xb8\x9a\xf3%\xf9\xc1\xb3\xc9\xf3""\xaau.\xad\x1f\x8f\xee'"
"The Tripod.","b'0F\x02!\x00\xd64\x9bzi\xa6\xff\xb1R6\x16\xd2X\xd3\x1b\xe6\x14}\xdc\xe5\xafrs\xd3\xe0\xa1RSt\xbe\xbcP\x02!\x00\xf7]\xe0\tj\xd6JmI#\xda\xe1\x86h\xd6\xf5\x92d\xb2*5+-J\x9f_\xf0\xf0\x15\xd5\x88,'"
"Plates.","b'0E\x02 bP8N\xd6\xc6P\x8a\x80Z\xe2it\x16g\x1ex\x18\xfe\xf8\x95\xf9\xf9\x08\x13\x07E\xd0j4Cf\x02!\x00\xcb\xf13\x9b\xc1\xa9\xd9@\xe9\xb5\xe4\x86Q\x87??\xfe/\xdd\xf0\xe6\xf1\xde\xdf\xf4\xa2L\x929\x12^+'"
"Blinds.","b'0D\x02 \x02\xe4\xb3W\x01$\x96\xfe\xc4/\xa0\xcb\xbf\x1ed\xba\x15\xe4@""i\xa2txx4Y\xf4\xba\x8a4*\x02 \x04\x95X/w\xa3\x1d\x80\x91\x0b\x90\x16\xda\x1e\x7f]\x9f!\xd8\xc9J\xea\xba\xffP\x82\xffh\xc9\xa5Ec'"
"Sundries.","b""0E\x02!\x00\xd9\x12<\x1f\xef\xea\x90\xbd\xba\x99\xe5]\x9c\x82 \xd9\xcd\x0f\xdd0\xd2\x87\xa4<\xf1J\xf4\xe3\x93>4\xff\x02 \x05\xfa\xa2\xf3'j\xf4\xba5\xfd\xf9\xfa\xc9^\xe2\x8a[[\xe3x\x00I\xe3\xa6\xeak\x01\x8f\xed\x08\xe8\x98"""
"G.","b'0D\x02 \x03r\xc7!\xf1\x9c\xaaCc\xc7\x0e+\xe98\xf4\xdb\xa9/9\x80\xbe8f\xf025u\x88\xdc(\xe8\x1d\x02 \nW\xe3\xa48\x04\xb9\xf0\xdcz\xf4\xdd\x08k\xc8[z6Q\xac:\xab\x9bHH\x03g/\x9dd\xc4\x19'"
"Top","b'0E\x02 }\xe9\xe5\x19.\x86\x87\xb8h\xd4`\x9c\xf8\xe6\xeb\xcfR\x819r\x87rg\xebv\x8aGP\xda\r\xf9\x84\x02!\x00\xaa\xd7\xa0\x12\x01\xe2\x85\xca\x16\xc0\xfa\x84<\xf1\xa4\xc73_A$\xee\xbb\xf2o\x1f\xf8\x1c\xb6\x00r\xe8\x98'"
"Pollution Types","b'0F\x02!\x00\x9a\x83\x9b\xfc\xf5\xb6KL^\xdb\x11\x0e7\xc9\xea\xfasK\xdb\x00\x0e\x01\xc9\xa1\x9ct\x9c;\xfb~\x9c}\x02!\x00\xc1\xa8\xaf\xb1\xc0M\xbd\x06\x8d\xa6\xd7\xb9\xc15n3\x80\x10uc\xc3\x88\x82\xf6\xd8?\xfb\xce\x05\xe6\xc8\r'"
"Air Pollution","b'0F\x02!\x00\xb7\x94\xd9tZ\xe7+t\x83\x86h\x12\x9b\x81\x1ba^\xe7\xf7&\xeew\xae\xf3t9\n\x1bc\xa6{\xf4\x02!\x00\xe2\xb8a91!\x80h2[]\x0b\xb4\x1e\xd8]\x80\xf9\xfc\xf7\x05\x8b\x07\xf5\xa4\xa4\xfbP\xdf\x17\x99\xb1'"
"Water Pollution","b'0E\x02 \x1c]W\xaf\x1e\x1e\xc9\x9a\xef\xa9\xe1\x9f\xc9!\xb8I\xca#,\xed#\x01\\?\x1a\xde\x1b\t\xeb\xb8\xb1\x80\x02!\x00\xf0\xd9\xf2/K\xe6\x0ci\x8c9\xb1/S\x858\x01\xc3\xa9v|\x974\x19\x91%\x7f\xc9M\xde\xbe\xd8\xbc'"
"Soil Pollution","b'0E\x02!\x00\xbe\x14\xd4\xcb(~\x97\x160`d5\xcf\xd1Y\xa3\x99\xd20\x95\xa7\xf6\xd2=\t\x94*\xe4\xccBE\xb5\x02 ,^\x9e\xd65\xeb3?\xf8\t\xe5\xa2h\x14\xaf&\x7f\xf2\x9b]\x98\x8f\x87\xf7\xe0\x98\x15\x19\x06Rh\x06'"
"Air Pollution:","b'0D\x02 W\x94A\xf1\xec\xf8\n\x1e\xa7\x9e\xda5\xf122(\xd3\xb3z\xde\x8c\xcc!\xde\xb3Qj\xda\xd6\x9a\xaf\xea\x02 X\xc5\x87\x8c[\xae\x98\x0e\x1fn\x15\xf1eil\xa1\x1aQV\x91s#\xcc~-\x84\x18\xc7\xf2\x8a\xda""'"
"Water Pollution:","b'0F\x02!\x00\xfb1!\xba\xf3\xf7\xfcD\x1c\xe47#O]\x14\x02D\xb9\x81\x02\xf3\xc4>\xe8\x13r\xc3\x04\x9ej\xfa\x8c\x02!\x00\xf1\xfd\xfb\xe5\x7f\x01\xf7\xa5)\xdfB\x9ct\xb2\xaa\xf3OLk\xde\xbd\x15\x8ex\xa92/\xdb\xfb\x8c\xa4\xfe'"
"a.","b""0E\x02!\x00\xe7[\xd0\xd2\x96\x08\x1d\x99R\x17\x16S\xac\xab\xc0\x7fo\x1c9\x86.T\x12'\xbe@=\x0e\xb5U*J\x02 \x1a%^\xcb\xe3G:-\x18\xe6\xd5\xc7\xfeyc\xf2\x98@\x99\xdb@\x15\nvIK\xbf\xa1\x07\xd1\xef\x8b"""
"b.","b'0E\x02 Z\\\xc1\xb7\xe7|\x99\xeb\xaa\xddH4\xeaa\xfa@\xbe 5}\x8dLI\xfa-V\x81\x89\x9f@0W\x02!\x00\xfc&\x1c\xf2\x00\xab\x02(\t\x91\x96\xc7\xc4\xc5\x8b5oo\xc5\x10F\x05g\x11!\x94T\xed\xe0\xff\xef\xff'"
"c.","b'0E\x02!\x00\x89hJN\x0bI\xbf\xec\x85\xb5\xc1y\xd4ou[\xd2\x1e\xf09P\xa8\x1aTYe\xe6\x93\xf3\x18p\xda\x02 b\xc0f\xe5\xa5\x92|?:\x0ce\xb1\x8e\xa9\xf3\xc9\x99\xdc\xe3\x8fi0\x11\x96\x9a\x918\xb92\xc0\x8c\\'"
"d.","b'0E\x02!\x00\xfa\xfd\xb5%\xd9\xa9t\xc3B%\x8f\xd89\xd2\xd6U\xd6\xa5\x8f\xcf><m\xd9^,\xd9\xc8\x1e\xc1\x86\xdc\x02 \x16\x95\xbf\x1at\xa6,\xe9\xd3""\x04<L\xb5:\xa2\xa9mU\xfb\xe9\xac;\x80\x87q4#edD\xf4'"
"e.","b'0F\x02!\x00\x87\xc0k\t\x03*[\xc4\xb4F\x1c\xfc\x10\x93Tw\x92\xa1\x81BZ\x8b\xcf\xe02\xfe\x04\xa26\xe9$\xec\x02!\x00\xf7\xbd\xa6@\xb0\xf6g\xb4\xaee\x0f\xb7\xb7\xa3&p\x01i\xcb\x80\xda\xdd\xc0;\x9f\x1c\xaa\x16\x96\xe1\x1c\x98'"
"f.","b'0E\x02!\x00\xf4\xe8\xf5\xc9e\x7fD\x06\x88\x86:\xad\x06\x00Zc\xc6\x84\x8c\xda\x95\xd3\x80\xba\xab\xcd\x92""S\xd5\x91\xa8\x02 @W\xc2\xb0\x84\x90l\xbbSp\x8cUcE\xa2\xe6\xe8\xc9\x7f\x19x""`T\xd5\xf9\xc3\x17\xbb""""\x0c'"
"g.","b'0F\x02!\x00\xac\x98\xab\xfe\x06\xb9P\xfc\x7f\x15\xe0\x9cKm\xdf\x83\xab\\\x19\x7fh\xb5\xe39?\xe0\x016\xd1{i\xfc\x02!\x00\xce\x0e\x15H\xf65\xbb\xa1\x8e\x95\x81\xf7\x8b\x80\xa5\xc8$DN\xdf?\n\xf1\xfc\x01&5\xd2\xe9\xb8\x99\xc1'"
"Noise Pollution:","b'0E\x02!\x00\xc1\x10\xea7\x16\xb8\x81\xef\xcb\x10\xfdSt\x92\x8f\xfb\xf8nL\xd2\xf8\xb1T\x92\x1aexE\xc2\xa7M^\x02 \x11\xf43A\xfeS\xcbY\xeb\xf8\x91K\xb6[\xd9\xd6\x9a\x13(\xfd\xd0\xa2\xea\t\xd5v\x8c\xdd{\xcb\xc5\x88'"
"Global Warming","b""0E\x02 x\x04;\xd4\x9a1\xa0?\xbe\x9e\xad\x1a\xeaix%\xdfJ\x18O\x17\x94\xdbM\x07K,\x1fOZrH\x02!\x00\xf5V'\x0f\x97\x10s\xa8\xfbbd\x97\x9e\xb2\x0e\xfb0\x18&\xb2\x9e!\xceB\xdc\xe9M\xe1\xfd\xc3p\xb2"""
"Believe.","b'0E\x02!\x00\xd0\xb1W\xe3/3\xc4{\xd5\xef\xe0\x0b\xb6Y\xde\x7f\xb7^\xd3j\xf6\x15\xea\xe8\x06\xb4\x81]e\x91\xb9\xd5\x02 \x12\xf5\xd9\xe2\x99}C?\x1e\xc1G|gWPn~\xc5\x9f\xcc/\xeb\xe1\t\xd2\xaa\x7f\xc2\x9d\x06s/'"
"Inspire.","b'0D\x02 \x05n\xc6\xe0\x0e\x00\x1e\xf4\x04g\xe6\xeam\x06.=W\x9dg\x85\xc7V\xca\x10 S\x04R\x07\x80\x9f\xac\x02 :t\xb0tl\xe8Z\xf3\xb9(~\x8dU\t\xef\x83U\xd9\xcew\xf4lK \t\x95\xa4\x86\xaaqe\x1a'"
"Achieve","b""0D\x02 j\xcdw\x99\x84\xdd\xa4\xa6 ma\x8cE0r6\xb1\xc6\xbdo/\xc5\xef\x7f\x06\xec%z0\xb8\x17\t\x02 \x02\xb8W\x9d\xe5'\xf3\x84GHvu\xc4M\xac\xab\xbb|?A pZ0\t\xdc\xfd\xb3E\xa3\xa7\x9c"""
"Succeed","b'0D\x02 u\xaf6\xbf\xf3j\xcc]\xdf\xcf,<\xf5pr[;\xb3\x8d\x1f\xd8\x9d\x12\xc5\x18B7\xea\x9d\xbd\xca\xf8\x02 e7W\x8d\xe0\xf6H\xf4\x8b\xe5uQ\xb8\xe7\xae7\x86\x104\xf8G\xe81\x94\x86\x852\xb6\xad\xe0\xbe\xb5'"
"Focus","b'0F\x02!\x00\xe5\x02\xadyVK\xd7\x03\xec\xa9\t\xc2(\xcb\x0cY\x9ak\xdb!@8\xffA\x00\xa9%\xdb\xeb\xd1\xc8\xe6\x02!\x00\xc6\x8d\x90\xb6f\x07\xcf\x06\xabz\xadQ\xf1\xdfU<\x96\x9cG\x8e\x9a\xce&:\x10#\xa0\x80\xba\x84\x06{'"
"Learn","b'0E\x02!\x00\xf6\xbc\xb4\x89{\x8d\x1c\x1b6w\x9f}\xb9\xa7K\x1a\x9a\xb5<\xcf\xd6m\xdb8r\xc2R\x12\xa7\x19,I\x02 \x06\xa8-\x8a\xeb4H\xb1\xbbSiCf5F,\x0fZ\n\x80Q\xe7\xe9\xc6SMm5\xa2\xf8C\x94'"
"Create","b'0E\x02 0\x89\xe0\x1e\xdf\xc6\x1c\xc4`\xe2\xf4\xa5\x93\x9f!""L\xcez\xd0\xee\xae\xd5\x9fm\x04)f\xc0<.\x84\x02!\x00\xe3\x10\xdc\x10Q\xe4\xf2\xdcg\xb4\x13\x86EP\xf9\\A\xd3XMH\xa3W\xa1\xdb\xc1\x14\x08_d\xcc\xee'"
"Dream","b'0D\x02 \x0e\xfd\x94\x88\xfc\xd0P\x94\xa6W\x15W\xaeU\xbatcb\xd6+\xca:k\x13|\x17\xf4\x8f\x17\xdd\x9ac\x02 M\x11E\xc1\x16C\x82\xf4YLnc\xe6y\xd7:{\xbf\xf5\xb4\x0f\xbd\x9d\x87JY\xe7\x15TG\xd6j'"
"Grow","b'0F\x02!\x00\xf7\xcfX\x80\x1b\x7f\x8fe\xa5\x99\xd0\xe3\xa6*\x15\x94y\xfc\x82\xa8 \xb3\x12\xf4b\xd2\x0f\x88nZI\xa7\x02!\x00\x974r\x8d*\x0fz\xfb\xbaP\xeb\x95 \xd0W\x1e\xf4\xa2\x8e\x9d\x0b\xc9k\x9a\x14\x15\x81\xd4\xddW\xac\xe1'"
"Shine","b'0E\x02 \x0e\xb8~\x17\x02<\xd9\x0b\xd2\xe4\x1a\xb1\xa43Z\x82\x18\x83\x86\x9a\xcaS\xa8\x90~\xab\xe4s\xc5\xd7\xfa\xdd\x02!\x00\xea\xac\xef\xfc^\x8f\x96m\xaa\x1f\x1fJ\x85?\xd5\xf9\xb8\x84,\x89\x8d\xc9\xfbf\x85+\x85T\x9a/m_'"
"Smile","b""0D\x02 \t\x8b^t\x1e2|\xce\xee\x02{\x88\xa5\x01\xd5V\xfb\x82\xdeW\x91\xfa\xa9W3\xd8V\x18v?:'\x02 \x14S\xb2\x93Eq;\x96\xe6I\xfb\xabN\xe6'\x8b\x91k\x1d\x01\xfe\xf9q(,\x86\xb9t-\x92\xc6\x18"""
