"Strings","AES_encrypted"
"[Bird]","b'\xe8\xf0\x9f\xe7\xad\x18\xde\x83\xdbGu\xb8\xc7Y\x83\xa9\x9a\x00|\x02\xca_W\xd7""\x9b\x96\x9a\xc79\x1e\xff'"
"6","b'\x08\x89\x1a\xbc\x91\xdfq?o^\xedj\xcd\x1a\xe9\xd9,\x18gsM\xa8\xeb\xdcn\xcbR,N\x12\x0f\x81'"
"The Camera.","b'Tv\xa6\x96\xb8~\x99\x8e\x9f\xdd\xef\xd4\xa1\x06\xe6;\x8c\xe5\x05vN\xc4q3\x87r\xa9g\x96\xaa\xaeJ'"
"A.","b'57\n\x9f\x11e\xa3X\xc4\x1c2\x9f\xe6\x86r?}\x89\xee~v\x01\xf5\xab\x17;\x94hxos\x11'"
"Mr.","b'\x01\xb6\x14\xc8\xa1\r_\xae\xc3d\xc6t \x8a5a\xd2B:\x07J\xad\xc5\x90\xeb\x13\xd8\x13$e\x1e6'"
"The Lens.","b'\xa5R&r\x18\xd6\xa1c\xbbXo\x18j\xe4\xd4\xbdW\xe7\xc4\xe42PG}\x93\x15\xdd*m\x1f\xc2\xe3'"
"6.","b""AR\xfa^\x11gr\xa3\x93\x06%:\xab\x886\xca\xb9t'L}N^\x9eNf6\x80\xae(x\xad"""
"5.","b'B6\xae\xd3\xb4V]\x18\xf6-*\x99\xeeD\xfcc\xfcB\xf5\x1f_i?\xdaOW\x85Q/\xfbNi'"
"2.","b""\xaf\r\xd4\xa0\xb0}Z\xd3\x88\xa0'\xbe\xbd\x08\x0e\x98\t\x00:M\x01\xf5\xd1\xa0\xdbbR\xad\xa6-[\x0c"""
"1.","b'\xd3C\xdbF\xa6\r\xd5@\x959\x89K\xe4Q\xe4@8V\x0e\xe0\x10\xc0L\x18/\x00\xf8\x88\xd9Trl'"
"15","b'0\xec%\x94HYgG+\xf8\x82\x9a\xeb\xc5\xf9>\xa8}ko\x1do\xe8\xfc\xfc\xe8\xf0\xb0\x99\x93\xd9P'"
"3.","b'x\xcc6\xf8\x9d\xf9\xa81\xd7\xe1\x19\x05\xbd\x14\xbbw\xb4/\xca9\xe5UA\x1dS%M\xd0B\xf3\x99f'"
"4.","b'O,`>z\xf1\xce\xd6\xd4\x85<\x151q\x8b\x87z\xfeJ\x196\xb6P\xbbqZr\xf4\xbf\xd1\x80\xa2'"
"17","b'""E#\xd3\xd3\xd6J\xf4\x04U\x16\xd5Q\xa2i\x1b\xb5\xe1\xcee\xd6\xa0\x1d""\xb4\x82\xf1K\x02\xe0\xf5\x9c'"
"18","b'b\xa8\x137|~N\xe7\xecc(\xa6\x00\x03\xb4X\x19L\x98g\x1a \x06\xc1O\xeb\x82\x8d\x01\xd5?\xc9'"
"7.","b'\r4\xd1\x0c\x90\xd2v-\xd3\x7f\x06<\x9e\xce\x9d\x8a8\x96\xc8t\xdb\xfd\x9d\x83\x82\xe8c\x8b\xeetK\xb2'"
"The Shutter.","b'P\xab\x7f\xaa$\x0e\xdfr\x1a\x1c2\xadJK\xc8jn\xe1c\x8e\xb2\xb3Dn\x95\x1e\xb6\x98\x8b;\xf0J'"
"The Tripod.","b'\x86A\xaa\x1a\xf4\xc5\x08\xc1\xef\x93\xb4\x03e\xc7\xad\xa2\xb8d\xa9\xd3Z^OW\xea\tM\x1e\xc3\xde`,'"
"Plates.","b'\xb5\xc1\xf5\xd5b\xe1\xe0Y\xb1\xe9\xf43\xf3\xc2\xefO\\`5f\x18\x0cq\xd6\xbe\xe6\rC\xd65I!'"
"Blinds.","b'nT\xc0\xb0\x93\xc5\x95\xe4\x80\xea\xb9R\xb7nxu\x0b\xf0\x15f,\xef\xbc9O\xcf&\xc4\x13*\xb8\xad'"
"Sundries.","b'""\xe0<\xceS\x92\xd8!i\\\xf4ln\x96\x1c]\xbf\xde\xffw\xe7\x92\xa6]\x93\xa6\xb0\xf5t\x99\xa4{'"
"G.","b""\xf2\xe7Vx\x90\xbc\xf6\xdc\xc8UL\x90'\x1b\xfcD\xaa\xfe\xae\x9b\x14\x0e\xf4\xf08\xe3}\xf3m\xdd,\x0e"""
"Top","b'5\x86\x86p\xfc\xae}\xbe\xf5\xfc\xb1\x83\x85""\xaf\xcc\xf5\x8a\xc0\x8cZ\xa9\x85f\xd1o\xc5\x9f\xa5|\xfd\x14'"
"Pollution Types","b'\xd8L\xb3U\xbe-\xd7\x8f*\x1d,Qn\xe7\xbb\x93\xb9/m\xba\x94^\xa3\xb1\x01`\xe4\xf2t\x08\xc0\xd8'"
"Air Pollution","b'\x8e\xf3\x1e\xbfs\xea\xb6\x0bO\x01\x1e \xd8%\xf0\xd5 \x04\xb1R(\xc2\xffgO+8\xc6x\xcd\x1a)'"
"Water Pollution","b'xX\xc9\xd9\xfb\xe1\xfcg\x0cu\x00\xa9+\x99\xc5\x1a$k\x14j\x1e\x1f\xb1\x13z(\xd6\x0c\xbfS8q'"
"Soil Pollution","b'\x83Fq\xb7\xba\xf3\xd7\xa3\xc3\x80\xa7\xcc\x0c\x82C\xdc`\xb8\xc7\xa9\xc8\x86\x07\xe3\x86\xaa\xca\x16\xdbg\x9f\x90'"
"Air Pollution:","b'zu\xf0^\xcb\xc2\xed\x00\x94\xe5\x8e[m\xe3\x8eVA\xab\x87\xcf\xa9\xc8<\xd1\xae\xca\x1a\xec\x91\x9f\x93C'"
"Water Pollution:","b'\x8c\xae,D\x01\xc9\x94J\x15\x88\x80r\xad\x1d\xe5nto\xcbG\xa7\x8f\x13\xb8e\x9e\xef \xa1\xe5?\xa6\xc2\xf0\xe4\xec\xdc.27x&v\xbd\xdb\xd6\x98\xa7'"
"a.","b'S\xfe\x8b:\xd1\xad!\xfa\x95\x08Q\x89\xdc\x06\xa3\x12\xeey^\xe5\xe9\x9b_\xb3\xef\xbf\xb6\xccjW&K'"
"b.","b'-\x8d\xbe\xae\x16\xc1\xdc\xb1NL\x8b\xf5\x08\xe8dr\xf5\xe2\xdf\xf9\x94)J\xbc\x08\r\xb5\xbf\xe7Y_t'"
"c.","b'_\x12\\\xa6?\xc6x\xbdQ\x9e\x1d\x1b\xd7\xb4\x89\xf2\x1b\xb7HY\x17\x05`\xfb3\xe02ED}\x95?'"
"d.","b""\xf6\x9d\xfcE\xfa\xd2b{\x11\x1f\x0e\x10z\xc4\x86\rs{\xde\xb5.B@f'S\x10\x16\xc0\xdf\x08\xb7"""
"e.","b'\x8b0\x93jG\n\x8dM\x81o\x1d^\xfe\x0e\xcb\xaa\xbc}Z\xee-\xdf\x9a\xcb:\x8f\xa6ql\x13\x1aY'"
"f.","b'K\xd5Z\xf2\xf4\xbb\xd0\x93Y\xb0\xefB.\x1b\xec\xeb\xd4\x91rzS\xbc8\xbe\xf8\x95\xc1\xf8\x00\xb2\xa6\x0b'"
"g.","b'\xe6\xde}\x99\xea\x0e\xedi\xd7!\x91\x07\x99p\xf3\x1c\xfe\xdc\x1do\xc6\xd9`\x8d\xe3/v\x91\x8f\x002\x8c'"
"Noise Pollution:","b'\xf1\x9b\x8d\xa1\xb7s%\xe6$\x7f\xf0\xd8\x05\x9a\xb0\x10sl\xec!\xf8\xda\xff*\xb2\x1c\xa9\t\xc2l\x87\xc25|\x0f\xe1\x06\x0f\xbf\x1d\xeb-\xae\xedz\xeeS\xd7'"
"Global Warming","b'\x07\x0c\x0e""\xad\t7\x9c\xc5\xec\x82\xa66b\xd6\x7fz\xe9\x81\xdf\x96\xd9\x13\xe9\xf1\xd7\x93\x84_^<J'"
"Believe.","b'>\xfc\x9f^g\xb0\x9e\x86N\n\xa1\xbe\x14/P\xbf\xf4\x1d\x84\x86\r+\x98bV\xd63\xda\t6?\x08'"
"Inspire.","b'; %Ro\x9f\x12\xf4\xfe\xc5\x08^-[\x146\xa9\xe9Zq\x1f\xd3Q\xf1\xb2\xef\xdd!c\xc2\x9e\r'"
"Achieve","b'""""L\xeen\x0eD\xab\x10\xf2\x9e\x9e\xdc|\xefKF\x13\xf2\x8b\x1c\x94\xb1\xb9\x19=16^\x1fp\xc3'"
"Succeed","b""\x8aJ\x8a\x93Vk\\\xd8\x07\xad\x183\xd1\xb1Df\x00'K\xc9\xe6\x1c\xa6\xe9n\xbd\xc3M\xc5\x88B\xb0"""
"Focus","b'`\x1f[m=\x8cT\x9c\t\xeb\xd0_e\xc3mjK\x9b\x91\xd3\xbd\x89\x04\xd3w0 \x08\x89\xba\xf1\x02'"
"Learn","b'\xfd\x07%\x88U\xfa\xe1\xbc\x95\x13U\xcc\x98p\x81\xe8\xc7\n\xf7\x11k\xe5\n\xcfA50""\xf7\x02qF'"
"Create","b'\xe8|E\xc5\xf3\x10\r\x8e*\xd6\xbe\xa2&\x07\x8c&m\x950\xf2\x04t\xf9\xa4\x7f\xeb\xc5S\x94}\x93\xb8'"
"Dream","b'Gv\x06\x07\x1e\x0f\xeaY\x1d\xf3v\xd4\xd0\x8c\x81\xda\xe9\x85\x1b\xbe\xb3\xc6\xc9\xf5]\x9b\t\xc3\xfe\xc8\xcbw'"
"Grow","b""'\xc8XG\xc33\xbc\xb5\xd9RG\xcb.\xb9m\xc5kV$[\x9f\xab\xe1\xc3\x00&\xbe\xe7\x8f\xe6\xe8\x92"""
"Shine","b'g\xd6\xa0\xf23i\xa6d\x1ez\x107d\xd4\xd8\n|{O@#\x87\xbc\xe1\x0ct\xa8\x7f[e\xc4\x1a'"
"Smile","b'\x99mR\x8cW\xd1C\x08\x94\x8ef\x12a\x95x>\xe1\x13\xf8\xc9M\x88,\xf4\xeca\xf8%-\xe4\xa6\xc0'"
"Hustle","b'\x1e\xc3\xbev\xf3\xb3]X\xb7\xc2\xcc\x00\xb2x\x8a\xe6eQ\xff\x1f \xdc\xc2!j\xc9\xbe6\x1f\x9a\x1f\x9b'"
"Conquer","b'\xa8\xc7\xa8\x1a\x8f-\\\xc9\xbe$\xae>""XdA\xf8\xea\xd8%\x9b\x94\xc0\xb4{!n\x92\xb1\\\xb9T'"
"Imagine","b'\xe8\x00\x1c\x1c`\xfa\x12\x1d\xea\x99\xad\x16\x14\xbd\xa3`\xfe\xe1/\x85\xadiJ\xb6\xee\x14""\x1c\xe5\xb4=G'"
"Explore","b'}\xb2\x8e\xd4%\xe3jX\x8b=\xdf\xdfW\xae]9\xa5\xd1Q\xe96\x82\xe3\xf6\x98\x99\x95\xe5RD\xcd\x8f'"
"Improve","b'\x07\xda\xd8\xe4\x1b.}o !\xf2\xe3\xc3\x03\x04\xb2L\xfau0Uqx\xac\x18j\x06H\x17\xda}\x04'"
"Love","b'\xc0o\xf7\xb9;\xc1\xed\x87\xa8l\xb3\x84\x08\x8b\xa2D4\xa0Y\x8a\x813\t\xb2\xb1\x01\xf5\x1e\xc1\x11\x14\xee'"
"Thrive.","b'\xe2c\xe6!z\xec\x907)3`\x041qh\x99\xcf\xe5\xad\xeb\x94{\xdc[\xb1\xb7\xb0\x7f)\x0e\x02%'"
"Endure.","b'I\x84E?\x13\x87\x00\x8e\xaeh\xf0\xb9\xf89\xfb\x9a9\x07\xb7\x02=\xddrk\x1a\xaa*\tu&t}'"
"Overcome.","b'\xd5Q\xf2\xd4\xd3{\x91\x1d\x8e\xc4\x9a\xe5A\xa4\x9f\x9c\xb8\x81\xa1\x14\xb7<\x81\xe3dN\x9cPu\xb5\x191'"
"Push.","b'|tZc\xf3r~\xea\xc5&F\x1bC\xb7\xe8R*""H\xf9-\xa8N\xcb\x82\xf6\xb8\x1a}k\xd09'"
"Strive.","b']\xe2\xc3\xba\x0e\xc4\xb5\x8d\xe0\xf1/?9\x04\x0bZ\xb5\xb4u\xbf\x07\xb7*\x0e\xc4\x9aG\xa5b\xb0\xd0k'"
"Rise.","b'\xd4?\x10,\xc8-q\x81\xa9\xb9\x1d\xf6e/\xeb\x0c\xb23\r\x8bj\x90!.\xb1E:x\xd0\x8d\x19A'"
"Fearless.","b'\xde\x171\xcf\xfbRDt\xafA\xd4\xcf>H9\xae\xccK\xd5\xa0u\x88\x93\xcdU\xe3\xc8_\xdf)\x1d\xd5'"
"Bold.","b'Lp\x86\xc1\xc3vi;lE\x99\xa4\xff\xa4\x1cu\xb6\x00\xd0\xa9\x90#\xcd\x13U\xb18j\xfc\xa7s\xa0'"
"Brave.","b'c\xea6\x1cn\x10\xdc\x1b\x80\x06P\xa7\xf5\xe6\xac\xa0@\xd7\xdb\xc6\xad\xcd\xc2\xcf\xd0\xbaD1\xf5\xe1t\x81'"
"Victory.","b'\xf5\xf6\xa0\xcbC\xcad\x97\xe2g\x1f\xff\xe5\xb2\xb9*I\xc1$\x95\x92\x16\xc2\xa9\x9b\xefY\xa4w\xc3@\xb6'"
"Relentless.","b'\x08\x81\xf0\x12\xe7\xb7\xa9\xb8J\xaa;1>\xfc0L\xe5\xf5\x06\xf9\xc2\xaa\xd0\x15\xcf.$""i\x94\x86\x10'"
"Unstoppable.","b'D\x98\xec\xa2\r\x91(\xef\xfb\x03\x03Q\x9a\x11\x9eMw\xc6@\x12\xcf\xe4K\xca:\x08\xda\xd0\xfc\xd5\x8a\x97'"
"Freedom.","b'+\xe8\xff\xbf\xf3\xa0(\xcc:\x96\xb0\xa9/\xc2|\xa31y@\xd4\xfd\xc9\x1a\x95\x14\x89\x8a\xa4\xac\xc3\xa4\xde'"
"Limitless.","b""\x888\x0e*\x1c\xcf\xe4\xd0$'z@\x00d\xb7m\x07\x11[tB\xc9P\xaed\x01\xcd\x143\x97\xc2\x88"""
"Unbreakable.","b'\xdd\xe2\xe9\x144\xaa\xc8\x10\xc0\x03\xc8\xed~\x01C3\xa3~\xedA\x18\x04:w\x92\xad.|;\xb3q\xbb'"
"Resilient.","b'\x94 \xf6\xdc\nu\x84\x80:ax\xbcP\x08JJ\xafv\x8b:U\x98\xabq_\xe4\xf8NZ\xdb\xef\x02'"
"Elevate.","b'\xe8\xb6t\xddO&\xb3\xe1\xe0<\x1c\x94\x11)\xc9\xea\xda\x95Z\xe4^\x15\x896\x19\xc5\xebch\xc5H\xc4'"
"Dominate.","b'`(\x04\xa3Cj@\x811;\x80~qJ\xea\xc5\xabI\x9d\xc9)\xdc?\xa6\xb2h9\xe7!\xbb\xffn'"
"Excel.","b'\xfd\x1b\x8c\xe3\xce}\xc2\x9e[G\xd1\x9e\xff\x04\xbd\xb6\xc1\xcd\x97]\t!\x84\xe1\xddu\x8b\x8a7\x0c\xbda'"
"Innovate.","b'^q(\xd2\x93\x87\xe3\xdc\x05<\xd6H\xba\xc1\x97\xb3D\x03\xb4\xda2\x00\xd8\xed\xee\xcb\x87\x815\xdb\r\xa3'"
"Encourage.","b'\x0c\xf9\x13\xc0\xc3\x17\xfe\x9b\xceS\x85\x190\xff:=j\xdc\x12\x7f\xd7\xd5\xfb\x1ab\x18\x0c\xe9\xc2rn\xed'"
"Motivate.","b'^\x02\x89\x9a=\xebL\xc04C\x90>#\x88\xf5\xf0\xe3\xf4\xa7i91\xe2\x11dk\x85cB\xa7\xd3s'"
"Strengthen.","b'v\x8c""\x0f\x07x\xbb\xc2\x1e\xb4\x92\xa6z\x0bB>\x07\x9e\xf1\x88\x9a\xe1F\x8d!(>\xe5\\\xaf\xe6\xee'"
"Transform.","b'\x91_\xdfT$\xbc)N3}\xd8\r+\xb0y\xac\xdb=Aj\xe9\xce\xe6`\x7f \x81\xda\x80\x93\x92Z'"
"Evolve.","b'\x97\xf8/\xe7\x99p\xc2\xde\xc4+\xfb\x92\xfe\xdc\xd3\xa0\xbe\xfe&uZC\x1a\xbdBQ$\xc2\xa4\x08\xdd\x83'"
"Ignite.","b'Tz\x85\x01\xd2\x14\x02\x1b\x91\x0cWl\x0b\x018\xfc\x90\xec\x99\x1d\x16\x10:\xcd\xa7\x97Y\xe9-\xb3/j'"
"Radiate.","b'r\xe4\xfc\xea\x9d\xf2}\x83m\xe2kJ\xe6\x06\xfc\x94\x95\x9b\xdc\xb6\x95x,\x00\x94\xf8\x06&|\xd4\x08w'"
"Embrace.","b'WDo\xabF[=\x91""\x1e\xbb\x9e@\xe0\x88\xb9\x15\x1d\xf2a\xba\x83\x82\x9a\xe7o\xb9\x987\xf9\xcd$'"
"Trust","b'\x9d\x92\xbf%=\xdd\x80Q\xe8h\xb4}\xedr\n\x9aO\x9d#\xfc\xf4X5@2\xcf\xc7F\xc8}{\x01'"
"Persevere","b'\xdc(\xe4\xb5\xc4.\x07\xa1\xfc\xfccls\x9f\xf4Q\xf4\r?&fz\xcb\x9d\x89K\xee\xc0d\x9e\xf7='"
"Motivate","b'\xf0\xd0A\xf8\xea\x9d\xe6p\x8e\xce\xc6\xb9\r\xae\x9f\x92\x9a\xf8%\xc0\xe2\xf5\x97\x8f\x83\x9ax\x99\xa4\x04\xab\x82'"
"Lead","b'\xc7\x81/x1\xdd7\x95f*\x1a\x96\xa8\x80\x01\x94\x02_%\xe2NHVv\x02\x07Zq\x1c\xc9\rD'"
"Adapt","b'\xdf\xf3\xa8l\xcf=\xbc\x19\xbd\xc5\x0cp_\xff\x86\xde\xef\x8ce\xe4\rH\xb0""\x12\xb5\xa6\xde#\xe5.\x06'"
"Progress","b""Ez3\x1co\xa4\xe7\x14\xc5f\x9c\xce\xf8f\xab;bfr\xf4*>\x18\xed\xe8\xca\x14'ts\x11}"""
"Courage","b'\x8f]r>\xe1\xfd\xb4\xff\xe2\xf1\xb5\xe8OlV\xa0AS\x17\xc8\x16V\xe04\x7f\xf5%q\x88f\xe4l'"
"Strength","b'\x84\xdd\xdc7\x8aG\x1c\x11\xe3\xa3\xfa\xd7\xa2\x06\x80\x1f\x9e\xc0^98I\xd3\xf9\xdd\xdb\xd7\x05\xd9\x1a\xa7\xe3'"
"Persist","b'j\xb9b\xa6\xfd\x86\x00\xdaf\x91Z\x12N\xf4""\xc7\x95\xb9$@\x14\xe8\xc5A\xe2@a\x0b\xf8\x0e\x9b\x81'"
"Win","b'\xe84\xa9\x0f\xad\xc1Y\xd0b\xc8\xd1\txV\xa2\xb5F\xebH]\xc7$\xcd\xda\x00\xc4!O\x15D\x07\x12'"
"Transform","b'l=\x81\xc7T\x1cr:\x08\x87\xcd\xba\x19x\xce\x88TF\xa2\xfe\x9b)\xb6\x1c\xf1pO\xdc\xda\x95\x16\xfb'"
"Inspire","b'A\x0f]\xb0b>\x9eqk\x0b\xe2\xb7\x8c\xfbkK\x94\xa95\xe0\xf6\xca\xa5\x19\x18h\x153\xeb\xae\xc5\x07'"
"Empower","b',""{f,W,X\x01\xe9\x183=;y\xf8\x98\xde\xb2\xb4n`y\x1d\x94m\x1cq\x12\xaf$\xea'"
"Elevate","b'\x9f\x9dW\x90\xb5\x1a\xa5\xa2\xabX\xe1\xfa\xd8C\xc7\x90\xbft\x8b\x0e\x00W\xca$~\r\x08\x80""v|P'"
"Stay strong.","b'|\xbf\xdf\xedR]\xa4\xad\xb6\xb4k\xe3\x00\x93\xa9V\x9b\xeb\xb2\xff\xbe\xa5(\xefQ\x92\x00\x90\xa8\x9d|\x01'"
"Keep going.","b'HB|4\x82\x14\x9f,\\r\x87\x16\xdaYO\xdc/B\xec\x8b\xc0Q\xcf\xc5\x90\x98z-\xa2\xff]\xcd'"
"Never quit.","b'\x84\xc4\x17o\xaa\xc9\xd8\x7fv\x10k\xbb\xfc\xdf\x84\x00\xbb[\xcb\xd1(+\xde\x1di\x04w\x96\x00\xa4\xd5\x98'"
"Be kind.","b'1\xc2\xdeI\xfb#\x9730\xa3X\x91\xff;\x0b#\xf1\xc5\xb55 \x81\x90\xb0\xbf\xd5\x91\xff\x99\xd1\xdc\x94'"
"Dream big.","b""R\x8eY\xc3'\xfa\xf6\t\xcei+\xb5\xa4=\xb1m='t\xa6\x8aB\x16\xc3\x89\x97m\xf4[ZN\x82"""
"Think positive.","b't\r\xac\xff\xfbbi\xec\xc5Y9Q\xa9\x97\xacy\xde\x91d\x98X)\xba\xd5\x85\xc7s\xe1\xfbX\xd8\xb9'"
"Stay focused.","b'\xdf\x8d/t\xfc\x92\xb7\xe4,}\xe5)\x84\xa5\x141\x95\xb5\xcf\xd0SPKH\xef\x08\xd5T\xaas\xd7\xb9'"
"Believe yourself.","b'\xc5\\X\xad6Kz\xda\xfbo\xbd\xb8\xe3:{{\xb8>S\xb8F\x06\xc5\xac;A\xb4\r*\x94:\xf1@S\x19XM\xe1\xa51j\x1bU`n\t\xeb\xfa'"
"Work hard.","b'{\xf7\x95\x94)@\xd4\xae\x0f\x92\xad\x80\xbc\x99F\x04\x85\x06\xb0|\x80\xdf]\x83l\xe0\x13\x0bt\x8c\xc1\xe6'"
"Love more.","b'\xeew\x8d\xbd\xb4\xa9#%\xf9~\xfa\x1c@$\xef\xb5\xd8~\x00\x82\xb0\xfa\xc3\xc1\xd7Ix)\xd8\xc0\xdd\x9d'"
"Stay humble.","b'ow\x89\xeeZ\xf1\xc9\x0e\x8b\x8dc\x0c\xe6t\x91\x0e\n\xd0J\x16\xaa\xd1\xc6\xd5\x82\xdb\x84!/\xb1Ns'"
"Keep learning.","b'\xf9\xac\x93u]\x9c\xd7Y\xec\xd19\x13\xc9\xd5;\xd5\x9f\x0f\xe6\x8a\x0f\x1a#~\xb3""2\xee\xb7\x97\x8f\x8e'"
"Trust yourself.","b'^\x13\x8a\x14Q\x11W\x93\x80\xbd\xf5\x82\x17\xb1(~\x1ai>\x81f\xf8=\xb6\xba\x98[6\xbaB\xca\xf7'"
"Stay patient.","b""\xf1\x84\x012\xd19\xbb\xd9\xb5\x07k\x8e\xa6h7yYx\xec\xd2S'\x8d\x08R_|h@0\xbf\x16"""
"Be fearless","b'\xcd#G\xf8\xa1\x0eNP\x0fI\x16\xb2q\xd89;\x04v\xf3\xdcR\xb5\xfaBSjkv$#\x7f\xba'"
"Enjoy life","b""RX'\x98\xab\x00(\xda\xe5\x8b\x81\xbbpX\x10\x1a\xb8z\x85\x98H\xec\x92D+\x15\xb4\x89\x07\x0c9\xb2"""
"Take risks","b'\x00\x04\x18\x19\x8bT\x01\xef\x9aK!+\x97\xcd<\xeeP\xce\xb7q\xb7\x92\xd51\xd2\xe0\xc8\x90d\x0c\xc3)'"
"Keep growing","b'\xce\xc6\x11\x82s\xf4\xdd5\xdc]\xa0\x9e\xa1\x9aI\x08GHh\xabr\xb1`\xc3\xbc\x82\xed\xff\xceg=\xea'"
"Stay curious","b'\xdb=\xc9\xfd\x1e:-\xdc\xb0k\xc3\x9c\x0636\x03\xc6\xa5<\x13\x82\t\x05(\x9e\xeb\xaa\x8b_\xb7*\xdc'"
"Stay determined.","b'\xef\t\xcd\xefSi)\x0b\x9c\x01\x8f\xdd\x0fkg\x95f\x13\x0b\x02\xafS\x91\x8e\x07^\xd6\x89\xb5\xc8\xcc\xa0\xceL\xb8\xee\x9e/~\xbe\xee\xb5\x0c\x95\xa2\x01\xaf\x90'"
"Keep smiling.","b'\xf5bj\x16\n\xe8 \xf2$~\xc7\x996\x90V\xab\xe4INu\x10D\xc9\x17\xd3\t\xf88_\xbe\xc3\xdd'"
"Stay motivated","b'\xd3d\xd8d\x0b\xd7V[\t\x07\x9ec\xc7\x97\xee\xb0\x00 \x98\xba(`\r\x14\xc7v\xf3\x9a\x94\x1e\xa9\x8c'"
