"Strings","ChaCha20_encrypted"
"Inspire.","b'x9\x94!\xfc\x91\x88\xf5'"
"Achieve","b'\xef\x0c?\xd6\x19\x0b4'"
"Succeed","b'\xfcIq\xe2V\xc8['"
"Focus","b'\xad\xf2z\xd7\xc9'"
"Learn","b'\xb7\x8eN\x076'"
"Create","b'\xbb\x82\xc3;X2'"
"Dream","b'\x02\xf6qV\xe0'"
"Grow","b'K\xdf\x9aQ'"
"Shine","b'\xcf\x8b\x8e\x98\x8a'"
"Smile","b'=PB\x1d\xcf'"
"Hustle","b'\x8b\xde\x06d\xeb\xfd'"
"Conquer","b'(\xd4Un\xd5\xda4'"
"Imagine","b'\xfa,I\xeb\xc0W\xf7'"
"Explore","b'\xa7\xb9\xcd\xd4\xc5\xb7\xfc'"
"Improve","b'+{V\xed\xf7\xf6\xa9'"
"Love","b'\xf5\x94""}'"
"Thrive.","b'\xffrYR#s\xf7'"
"Endure.","b'\x93\xb3\xde\xd4F\x8cB'"
"Overcome.","b'\xc9\x0c\xb0\xedM\xe0\x1c\x9b\x87'"
"Push.","b'\xe7\xb4\xc4\x9e.'"
"Strive.","b'&&\x88\xd3\xa8\x01z'"
"Rise.","b'\x91x\xb4\xb3x'"
"Fearless.","b'\xa3c\x1f\xd4\xdd\x99k\x00p'"
"Bold.","b'K\xbeQ\x130'"
"Brave.","b'u\x83c\\\xff\xee'"
"Victory.","b'c\x88Q\xe5Y\xe0L\x03'"
"Relentless.","b'v\x0c\x84\xc8|\x98}\xbd\xb6&\xa3'"
"Unstoppable.","b'5\x19\xedQ\x03\xbd\r\x7f\xd1\xaf\xb89'"
"Freedom.","b'V\x8d\x9b\x9c\x8c0/\xc3'"
"Limitless.","b'\x9e\x06\xe0\x12\xf1E\xcb\xb6l\xc3'"
"Unbreakable.","b'\xc7\xd2\x04p\x8c`\xa3L\xe9\x87)\xd5'"
"Resilient.","b'=7T\xd9\xb3\xc8\\ \xd6\xe0'"
"Elevate.","b""Vj\xfb'@\xe9\xf0\xbf"""
"Dominate.","b'\xae|\xd3\xbd\xcd\xe2\x01~\xf6'"
"Excel.","b'\xe85\x90\xa3\x8f\x8f'"
"Innovate.","b'\xce\xa9I\xc3\xf6h[\x1d\xf3'"
"Encourage.","b'\xfe\xf7\xf9b\r+\x8b\x98\xbcK'"
"Motivate.","b""\x1d\xc9\xc7\x18'\xdf\xab\xec\x8c"""
"Strengthen.","b'J\x9c\xb1\x19D\xae>\xf43\xb2\x02'"
"Transform.","b'\xa5""f\xd0[\xbd,3\xc7\xf3'"
"Evolve.","b'\x02F\x8d\x9c\xf2\xc8\xe5'"
"Ignite.","b'+\xbe\xd8{\xd4\xc2)'"
"Radiate.","b'\x85\xe5*\xb84\xbb\xc0H'"
"Embrace.","b'\x8e\xea\xd1\x91)\x98\x01\x90'"
"Trust","b'fO\xf8E$'"
"Persevere","b'\x87&Q\x07\xb5\x9bM\xf7\xaf'"
"Motivate","b']\x8a\x11\xe9\x90\xf2\xfc\xf3'"
"Lead","b'<\x95\x8ai'"
"Adapt","b'f\x1c\xd9\x0f['"
"Progress","b'\xa6\xc8j\xbf\x88\xc9\x02\xd4'"
"Courage","b'&\x000{\xa5\x88\x85'"
"Strength","b'\x88\xfaiU\x89\xabI\xed'"
"Persist","b'h>\xea8\xff\xad\xb0'"
"Win","b'p)\x7f'"
"Transform","b'\xd6\xbb\x80*\xda[\xea@v'"
"Inspire","b'\xca\xcd\xcb\xb9\xc1\xadb'"
"Empower","b'\xe2\xc2fF\x15\x94\xaa'"
"Elevate","b'\x0fo\x93\x9cC\xe8A'"
"Stay strong.","b'\xfa\xed\xa22A\x8a\x15-\xbd\xcb\xdf\x97'"
"Keep going.","b'\xfd\x8c\x9c\xe4\x1a\x88\x87WU\xde\xb9'"
"Never quit.","b'\xc8\xc2\x01G\xdaK\xb3\x03\xc7\x98\xa0'"
"Be kind.","b'\x89j\x8busJ\xfc\xa7'"
"Dream big.","b'\xf8""j+\xa4r\xf9\x17\xca\x00'"
"Think positive.","b'i\x0e{\x81\xb7\x00\x15tq\x01\xb4H\xa0\x13q'"
"Stay focused.","b""'~\xae\x87dP\xcc\x99\x96\xebF\xb5\x94"""
"Believe yourself.","b'T\x85\x91\x7ft\xc52\x80*\x83e\xd8\\+\xfd8B'"
"Work hard.","b'\x03\x1f\xbf\xac\xd1\x04\x8c~&\x9f'"
"Love more.","b'$\xe8\xbd\xaa\x9a\x16|G;~'"
"Stay humble.","b'\x90\xf75^$\x1f.\x96\xdd\xe2l\x1f'"
"Keep learning.","b'):\xd4\x98\xbf\x1a[\x8b\xdc\xdb\xfbWW\xac'"
"Trust yourself.","b'\x1d?<\x16!;M\xf4\xb3\xcd[o\x9bA\x9c'"
"Stay patient.","b'\xbb\x9b\x10\x07""\xf0@\xa9\xc5\xab\xac&\xa5'"
"Be fearless","b'\xb2d\r\x04\x05\xbe\xbc%\x1f\xdc>'"
"Enjoy life","b'\xc7s\x8d\x9ci\x87I\x03\xdc\xd9'"
"Take risks","b'g\xbf\xaf\x86?\x95\xe0\xaa\x15\x9c'"
"Keep growing","b']\x94\xab#\x81wJ\xa4%\x17\x05\x97'"
"Stay curious","b""\x89Au'\x7f\xb9\xc8Q\xfcE$\xd3"""
"Stay determined.","b']\xc8w\x95\xd8\xae\x89\xd6>\x83\x06\xe8\xbd\x8d\x8d\x05'"
"Keep smiling.","b""\x8e\x11\xda\xdc\x81\xd65)\x80\x9e'\xaf\x84"""
"Stay motivated","b'\n\x8a!dc\x08\x8e\xb9\x080\xa8\x04V\x98'"
"Be different","b""\xad'\x08!\x8c\x97\xf0\xeb\x02n\xb4\x16"""
"Stay grateful","b'\xcc+\xa70\x0e\xee\xfc\xb8\x92S\xd8\x0c\x98'"
"Stay disciplined","b'R\x95\xde""v\xb69]\x93!L\xd4\xbe\xe8\x0f1'"
"Think smart","b'L\xb7\xfd|v\xc1\xb9\x00\x0eG\xb0'"
"Be confident","b'\x08\x9c\xbbC\xd96\xa9\xbc\xd9\x82[\x81'"
"Stay happy","b'\x9a@\\\xdfO\xc7\n\xfe\xea\xc0'"
"Stay inspired","b'\x8b[ \x00\xc4\xc3&\xd7r\xd5\xb5_2'"
"Be unstoppable","b'\xd5\x9d\xdem\xcc\xd8AN\x93\x03\xca\xadb\x88'"
"Hustle hard","b'\xadr5\xed\x00\xc5\xbb0\xe9I.'"
"Stay strong","b'\xab\xf8\x80V\xd6*E\x15r-\xdd'"
"Never settle","b'\x15\xc7XK\x01\xd1\x98\x95b,\xb1\x14'"
"Choose wisely","b'Bq\xe93\xff\xe3\xea2\xcf@6;k'"
"Stay active.","b'\x18\n\x1fXe\xa6\x021\xbbJ\xa8\xef'"
"Act now.","b'\x06\x03\x0c\x9a\xe2g\x7f\xc1'"
"Keep pushing.","b'C\xde3\x86_\xecdB*_\xabx\x0f'"
"Stay positive.","b'4f\xf6.\x19\xc2(u\xeb\x10W\xc4[\r'"
"Create opportunities.","b""\xcf}\x91\x96'p\x86\xcc+\x91X\xe3H\x12m\x10$\xff\xe7\x82<"""
"Keep moving.","b'\x08\xcd\xb0O\xf9\x88\xea\x90\xad\x0c\x86h'"
"Work smarter.","b'\x92q\xce,\x13\x8a\xd1\xd9\xf0l\x8b8\xf4'"
"Stay consistent.","b'\x95\x7f=\xea\xd8=N\x1c\x88-\xba\x0f>v\xed\xf4'"
"Never stop.","b'>\xfb{h\xae\x87B\x0f\xb9\xec\x87'"
"Be unique.","b'\x04p\xd0\x8a\xdbZ\x01\n\xb5\xd8'"
"Keep improving","b'\xfe\x10\x845\x19\rrq\xb5\xdc\xfbX\xb1^'"
"Stay resilient.","b'+th\xd5\x1f\xb7\xce\xdc\x8a\x8eT\xe4=\x8fc'"
"Keep believing","b'\xce\x9b\xfdB\xcc^6\x9c\xe2X0M\xcd#'"
"Stay fearless","b'\\<n\xa0{\xc5\xcc\xe3\xf6\xf8\xcf\xfed'"
"Make progress","b"" \xcd\xa4&s\xcd\xb4\xe3r\xf7\xc3'\xea"""
"Keep winning.","b'\x9c\x11\xed\x86[\x90\xd6\x85\x7f$\xb3\xe2\x90'"
"Stay true","b' -\xd7\xb6\x9ac8\xf4='"
"Never doubt.","b'\xde\x15\xc9\xd2\xce\x88g\xd1\xa5>\xad\x03'"
"Keep shining","b'\x93[\xc9\x1f+\xa8\xf5\xbc\x05\x98\xf3\x1d'"
"Live free","b'\xd2Q\xcd.\x9dn\xa7b\x96'"
"Love unconditionally","b'\x0cp\xfb\x1b\x177\x01M`%eGF\xf1\x04\xd2r\x94H\xad'"
"Stay unstoppable.","b'\xbd\xd1\x16\x05\xc5&\xd1\x97d,w\x82FPH\xc3""'"
"Rise again.","b'\x97\x8dY41_\xb6D\xd3\r\xf1'"
"Enjoy moments.","b'\xdcU""\xa2M""\xfb\x7f\xaf\x08\xee\xb68\x8d'"
"Embrace change.","b'\x87\x81Mcj\xd4\x13\xde\xa7M!1P\x91\x1b'"
"Stay powerful.","b'\xdazQ\xc2\x8a[\xf39\xc4F\x1b\x12\xd4P'"
"Keep trying","b'\x15XH\xc3{\xc0p&\xc6\x9e,'"
"Stay real.","b'k\xd0\x94\x0e\xd8\xa9]\xb1M\x1d'"
"Trust fully","b'\xce\xea\x01\xc4zn\xf3X\xd4\xc7\x9b'"
"Keep striving.","b'\xc4\xc0\x86\x08\xa3N\xc4\x83/B\xd8\x8a\x0f\xd4'"
"Never hesitate","b'\xb4\x10\x98\xe0\xb5D\xd5\xa6\x85\xdc\xe8\xcd\xf7;'"
"Stay adventurous","b'0p\x0c\x8f,\xa5\x89\n\xdbZ\xe1\xc8<KP\xbd'"
"Keep pushing","b'\xd5Uk\xb8\x87R\xd0:g\x1b\x1c""'"
"Never fear","b'\xbe\xae\x1c\xaf\xbdH\xfa!\x8c.'"
"Trust life","b'\x9d\x96$;\x0eu\x16[WJ'"
"Love yourself","b' \xc8u\xbd\xa2;\x12\xc1\x01\x16xG\x03'"
"Stay hopeful","b'\x9bN\x06a+hL\xb2\x9e\x1el/'"
"Work hard","b'*\xe2\xe1\xd3h\xe7\x96\x06\xeb'"
"Dream big","b'\xe88p\xc6\xc7\x80\x92\x01h'"
"Keep smiling","b'\xfb5D\x90|\xd53k^#\xb4w'"
"Stay patient","b'\xfeH\xd1\xe3\x90\xb3#\x10\xf2b\x18%'"
"Move forward","b'\x14\x1dy\x01\x8e\xf1\xd0\x9ac\xa4\x06\x93'"
"Believe more","b'+p\x01\x01\xa7\xea4N\x0c\xe8\xa5\x8a'"
"Stay positive","b'\x94;\xb1\xa2*\x15\x06z\xc9\x08\xdb\x06\xe2'"
"Think wisely","b'\x06l%\xef\xbf-\x9f\xeb\xfb\xc6\xc1\xd7'"
"Hustle daily","b'\x1a\xcbl\xe5N\xe7\xfc\xa2\x84R\xc3p'"
"Choose happiness","b'(\x9e\xc3Nw@\x04}B\xec\xbf!\x99\x8d?\xc2'"
"Hi, nice to meet you.","b'\n\xb4U\x81Te\xff\xc5\x9f\xd22\xce\xa1\x00\x1a\xfc\x88_\xff\xd1Q'"
"Do you have any children?","b'\x0f\xb9l\x86\r(W{\x91\x8e\xcb\xf8v*\x9dZv(\xd4\x18\x9f\x8d\xde\xce\x1e'"
"Yes, I have two kids.","b'\xa8\xb8\xcb0\xda\xdfR\xdbI<\xbf\xef\xbb\x83\xb8\x9f\x16\xe7\xe1w\x0e'"
"My day was great, thank you.","b'9\x0e!""#.cnuR\xd4\x0e\xb3\xcb\x13\x90(U\xc3\xc0\xd6\xbb\x0bz\xceO-\x8b'"
"I wake up at 7 am.","b'\xd8\xf2F\x9c\xa7\x16X\x84\x0ca\xf8\x08\xe2Lp\x88=|'"
"I drive to the office.","b'^d}\x86\xcf;\xe6\xf3\xef\x8f\xfd\xdfI\xa4\xc8\x02\x97\x81\\4\x9ca'"
"I start work at 9 am.","b'\x1d 14\x95\xc7b\xfc\xe3\x0cao\xb3\xcc\xba\x00\xa9\xc9\xf4F\x84'"
"I have a meeting at 10 am.","b'\xc6\x87\x9eh?\xa6\xa5&U\x9c\xac\xa8&\xb9\x11\xdc\xe4\xa4\xd68@[\xaa\xac:\x82'"
"I take a lunch break.","b';k\x8d\x93\xae\x10\xbfpV\xb5g\xa5\xb7\x1bb=3r\xbd\xb1\xd0'"
"I eat lunch at 1 pm.","b""0\x0e\x01\xc0 \xc006\xe7\xd3\xac\xd7*r\xb5K'\x84\xdbJ"""
"I finish work at 5 pm.","b'Y\x1eAw\x13\xaf5B\x1e\x1c?2^Y&\xade\x87e\xfe}o'"
"I go to the gym.","b'\xf0\x9e\xa3\xd0\xec\xb38\xac?\xad\xbe\x91\x04,(b'"
"I exercise for an hour.","b""\x82\xa8\xf9\xca^\xf2\x07\xcb\x04XW\xea\x13V\xf9.L\xa0\xe1'\x90\x19 """
"I go to bed at 10 pm.","b'\x868;\x06l96\xcd\xf9\xf2@\x9b\x03\n\xec\xbc\xfb\x9b\xa4&}'"
"Where is the nearest grocery store?","b'~\xce\xc7l?\x97T\t\x9a\xd7\x14\xb0\x87\x8e\xbc*F&@&E\x0c\xdc$\xaf)P\xd7""@\x91MM.\xc4'"
"I need to buy some milk.","b'.\xfc\x9c\xc2\xd6\xa5;\x01\xcd\x1d{\x1e\xc6\xa9{\x8d\x9f\xac\xd3\xcc[\xe0\xfc\xf1'"
"How much does this cost?","b'\x8a\xab\xb5^\x05\x1e\xd3T\xddg\xa8\xb5\xd8@\xcd\xe5\xf8\xdf\xf9\xc1\x95x\x0f8'"
"Do you accept credit cards?","b'\xf0\xf0\x86\x10\xa7\x9a\x0b\x7ft\xcf\xb68\xad\xc0\x1e\x8c \x89\xfc\x14P;\x91\xc1|\xbe\xec'"
"Can I have a receipt, please?","b""\xddO\x17\xf9\xdc\xd7'\xd3\xf2#\x8f\x7f\x80\x1e\xd4T\xef\xb2\xaf\xe4w\x0e\xa3\xf9*;\x1b\x00J"""
"I am looking for a gift.","b'\\z<\x9f?\x93\x1f\x83\x7f\x8f\xa5Kl\xfes\xb6\x1fh{\x16Y\xa1\x92\x0c'"
"What size do you wear?","b'\x9b\xdd\xe0\x84\xf3\xe9\x82\xf0\x15(J\xe5?\x0e\xb8\xd6(\xa5\xb5w\xe2\x0b'"
"Can I try this on?","b'\xc4+\xd3u\x88\x81\xdc\x81\xd4\xbdy\xd0\xa7\x84\xdf\x85\x88\xe0'"
"Is there a discount on this item?","b'\xf5\xa2\xd5\xd9W\x1d\n\x1c24\x0e\xa3\x9d[9\x95\xcdG\xa3\xc2w`\x07\x9d\xf3\xcb\xa1\x91!\x82\xfcXC'"
"Can you help me find this product?","b'\x12\xb4\xd8\x83\xd6\xc6\xc2I""\xed\x16+z\x8c\xad\xbb\x82%yA\xbc\xac\xdfQ\xb2\x17H\xd2t\xd4=D\x90#'"
"How much is this in total?","b'D\x15\xa1V#\x90\xbe1(/Y\xfbG\x07\x12%\xac\x83\xfd\xc0\xf1\x15\x87`\xe2\xb6'"
"Do you have any offers today?","b""\xda|BuS\xb6\xd5\x81'\x05\xd1\xec\x87\x9d\x15eKy\xe07\xc3\x14\xda\xb7\xa0\x96\x1c\x9c\xea"""
"Where is the fitting room?","b'8S\xec#Z\xd3\xe5W\xef\xb8\x12\xd9{\xdc\xb8\x90\xe4\xf8\xa1V\x8d\x19\xbc\x1e\\3'"
"I need a shopping cart.","b'\x99m3\xdbM9\x0e\xd0\xad""=\xd3\xca\x80\xaeA\x9c\x84z`\xd7\xd3='"
"Do you sell organic products?","b'\x92%/\\QdK\xc1\xce>\xb7FA\xde\x84\xd8X\x1e\xa0^3\x13i(\x85\x0c\xd4\xe0<'"
"Can I get this delivered?","b'`\xacC\x9a\x04+\xf4\xdd\x87VU\xc6\xf6b\x9b\xa18\x90\xb4\x18w\xf7\x9d\x1f\x9d'"
"What time do you close?","b'\rU+\xd9\xb8\x13\xaa\xba.\xcb\xf3X\xe9\x96\xdb\xd7\xdb\xdaJj\x8c\xfe\xf1'"
"I would like to return this item.","b'\x81\xa6\xf9\xcc\x8dg\xd4,\x90m\x9a\x83\xfe\xc0g\x9b\xfd\x93\xb3c)U\xdfO\x8f\x9d\xe3\x94\xcbo\x90\x88\x1e'"
"Is this item on sale?","b'\xaak\xa8\x93\xff\xa8\xe1\x96\xc4\x9f\xfd\xbd\xbe\xde\xb8n\xaa\x04i#;'"
"Can I see the menu, please?","b""\x10\xf9\x91'\xaa\x8d\xf2\xb7rZ\xf0?\x08/v\xc2\x1d6\x15\x17\xf4\xa9ct\x8f\xbar"""
"I would like to order.","b'\xc0\x15\xc9\xa9\xd1k\xc5\x00\x9e\xc5\x1f\x11\x96\xde\x8f\xd185\xb4\x0e\xc3\xc5'"
"I will have the chicken, please.","b'\xba\x89\xc1\x94\xbe\xfc\xd29\x0e\xe3\xccmi\xd7\x1f\x08]\x90b\xa4\x03Cz~Rq\xb2\x0b\x18vy\xbd'"
"Can I get a glass of water?","b""\xb0'C\xdd\x11\x96\xa6\xc3\xe6>\x9a\xf2S:\xea\xb7@iY\x8b'N\xc7U\t}\xc4"""
"I would like a coffee, please.","b'\xc2\xa6\x81\x06\xf1\xf4\xc0U^L3tE\x9c\x1c1\x9a?~\xe6\x14\xac\xddK\xa9cQqso'"
"Can we get the check, please?","b'\xb3\x83\x8d\x06\x142\xca\x00\xe4\xf9\x97\xa7\x96\xf5hM\x1dl\x05\xeaA\xcaT\xf4\x11\x82\xab\xb7J'"
"Is there a vegetarian option?","b'z\xca\xec\xeeY6\xf5\x195\xd9\xc6\xe3Z\xbbv5`#\xc2\x1d\xeb\x8a\x0e\xbdJ\x91Y\x9c\x90'"
"Can you recommend a dessert?","b'\x81\xe8\xbf\xedD;\xdaJs\xf9>5\xd7V\xdd\xda\xb5\x92\x98\t69\xc5\xc1\xe8\xed\xaa\xc5'"
"I have a food allergy.","b'\xf0y.\xffA \xe7Tt3\xa9\x81H\x1e\xc5j\xfe\x87k\xd1}}'"
"Can you make it less spicy?","b'B)\xf8\\ Z\xa7\xdf\xed\xde5\x87\xc9\xad\xf8q\xbe!\x948D\x95\xca\xf2\x14%\x1f'"
"I would like a takeout, please.","b'0bYzA@L\x10\x99\xd6\x96\x95y\xd4!S\x01\xc0\xea\x17""L\xd4\xad\x81\xadx\xc4I\x15\xec'"
"Is there a service charge?","b'\xba\xa0\xd2\xb9#\xdf\xb4r\xc9I\xd4o\x06o\xe1L\x83!\x197g\xa7Js\x03\r'"
"Can I pay by card?","b'\xbc`\xbbFU\tS\xd4\xec\x9a\x9d\x12\x97r\x8f]T\xcd'"
"Do you have any vegan options?","b'c}\x15\x14\xdbk\xb2\x13\x92\x81\xbb\\\x92{\xfeY\x94\x1c\x811\xeb\xb9\xe9\xf4\r\xe5\xed\xb1J\t'"
"What is the soup of the day?","b'\x01wq\xb9O\xa3rF\xfa\x08b\xab0&v\xdb{rt\xe6\xd2""\x04d\x123\xc7\xd3'"
"Can I have some extra napkins?","b'9\n\\C\xba\x9e\x1a\xf2`\xaf\x1e\xac\xac\n\x0b\xce\xefV&q)\xd7cz\xb6\x8a\x87>\xae\xa8'"
"The food was delicious, thank you.","b'\x8a\x87P\x14%\xf5Y>H\x98\x11\x17\xd6\xa9\xc3U+\x82\xc3>\xc8\xe5\xed5x#m\x1bP|\xfd\x87\xef\xbc'"
"English Sentences on Asking for Directions","b'\xc5\n\xb9\x1d\x94=\xebW\xac&\xa4\x0fq\x11\xb5`\r^\xe5\x0cI\x97c\x9c6\xd6jNh\xab\xc1\xba\x85)\xb7\xfc\xe3\xb6\xeb{\t\xac'"
"Excuse me, where is the restroom?","b'\x100\xce?F\x8f\xf2\x06~6\xd6\xbb}d\xaa\xe6\xc3X\xdft\xabc\xd0SZ)\x1eG\x16\x9dR3\x88'"
"Can you show me on the map?","b'[X\x934\xa1\xe4\x84\xcfW\xa5\xd1\x05\xfe$\xf0 \xce\xa4\xdb\xe1\xb7J\xf3\x8b\x88S\xcc'"
"Is it far from here?","b'\x11Xqr-c\x01\xc1\xe5\xc1\x97\xc71\xd6\xe3\r>\x82\x06\xc4'"
"Which bus should I take?","b'\xe8\xe4\xf8\x9b[@\x1d\x82\xc6""}a{\xdc\x0f\x99A1DT\x10\x1a\xe6\xad'"
"Where is the nearest ATM?","b'\xaf\x83\xdf\x02\x14\xec+0ww!\x85\xb7\x9f\xf4\x18I\xeb<(\xcb\xc3K9\xd2'"
"Is there a pharmacy nearby?","b""\xe9Ab\x94s\x12t>\xb9'\xc0Ja&\xae\x06Or\x89D\x813\xdd\xf8 b)"""
"How far is the mall from here?","b'A\xf4d\x84\xa3#\x08\xef\x07!\xb0}\x0e\ny\x93\x13\xc8\xbf\x88\xc6\x04\xa7\xe7c\xc0Y\xda\\\x9c'"
"Is it within walking distance?","b""\x84$\x13\x8a\xd3\x06\x83'\xbf\xae\xdb\xd4\xbcR3\x83G\xcc\x88:\x02F\xd9\x81\xa9\x9f\xff\xd6\xc6G"""
"Where can I find a taxi?","b""\xad\x17\x12[\xdf1\xacu\x14\x90\x85\x97R\xce\xc6\xc7r\xe2,'P\x9d\xcd^"""
"Can you help me find this address?","b'\x0b\xd4\x15o\xf2\xe3BxY\xe5\xee\x13\xfa\x1f\n\xd8U""\xce\x1e\x1f\x90\xd1\xce8\xcc\x83\xcb\xd5A0\xec#\xf6'"
"What is the nearest landmark?","b'\xf7\x91% \xe1\xed=\xff\xc2\xb0W\x92\x19\xecwtL\xd7X<\xd9)F\x89\xf5\xe3\x9bw\xb5'"
"Is there a subway station nearby?","b'T;\x92m\xdf\xc2\x19ys\xb2""t\xf0+\x03uiLT[\xe1\xef\xea^\xc4\r\x1bKI\x8c\xb7\x00\xf9'"
"Is there a parking lot around here?","b'\xd6\xba3Hx\x89\xd0\xdf1_\xfd\xd5\x85\xd9\xa0z\xee\xf5\x93/\x10\xde\x98$\x08\x98\xc0R\xa18\xab\x18\xd2\x84Z'"
"At Work – English Sentences","b'+\xec\x96\x9c\xe4\xf5L\xce\xf5vH:8\xb2\xd2\x0bb\xcd""\xd1\x8cv\x85\xa84\xa9B\xd6q'"
"I have a meeting at 9 am.","b'\xfb\xf03\xf2\x9f\xfe\xbc#\xf1\xbeI\x03\xbd\xbb\xbe}\xabP\xfc\xaf\xb6\x91i\rE'"
"Can you send me the report?","b'`_Z\xe2\n8x{:\x8bb \xbaf\x85\x9d: \x95&/D\xe3\x8bp\x88$'"
"I need to finish this project.","b""\xae\xd4\xf3\x01Z\x92\xa4\xfdZ#\xb7\xfd\x06\xdb]\x95\xa4?\x05\xfe\xa3\xb2\x939\xb1'\xbe/\xb7\x93"""
"Can you help me with this task?","b'Wiu\x9e72\xd44\xdb\xa1V3\x99\x19c\xc9\x8a\x92w~\x9c}\xf6\x0fU5\xb4\x8d_k\xd2'"
"Can we discuss this later?","b'\x8d\x17^\xbd\xf10\xe4)\xb5\x85\xaev\t\xcfh\xa6\xd8[\x18\x04\x95\x150\xd4\xedj'"
"I will send you an email.","b""]\x81\xca\xfa|'\x12\xbb\xad\x14\xebA4!\xc3\xd8\x88\xff\xd6\xf5h4(-C"""
"Can you print this for me?","b'E\xf6rJl\xa6\x7f\x94T\x8c\xbaU\xcf<Y\r\x16\xe5CJ\n\xc6\x870\xc1\x88'"
"I need to make some copies.","b'f\xc5\xaa\x15\x1a4\xfe>\x8a{\x94\xab;\xe4\xde\xed\xe1V9C7\xda\xaa\x93\xc0\x9e6'"
"I need to call a client.","b'\x8c,$\xb1\x11\xa6G\xf3\x94\x16;\xaev\x1a@0Q\x0b,\x1e\xc1\xe4!U'"
