"Strings","MD5_hashed"
"Blinds.","26bbccb1fbf318b2c227a66472d20d3f"
"Sundries.","835809ef449460625c598eef0591270a"
"G.","6d8b3c06979d551efdfe4be4b8fb8725"
"Top","a4ffdcf0dc1f31b9acaf295d75b51d00"
"Pollution Types","027cda00c8c26b9cfbf4f8f275b3c25a"
"Air Pollution","99222b0ab8b814309edde536a69eeacc"
"Water Pollution","3e8d33652a33c5a868001326ece76746"
"Soil Pollution","5f93fdf3e2e23f4ca218ee108cc56a95"
"Air Pollution:","20f49cae06c4b779e7f5fbba1eb9a272"
"Water Pollution:","bbd9f71f00dd9783389a1b1b818cbe2c"
"a.","9fbcccf456ef61f9ea007c417297911d"
"b.","2dd7ce2d41fb3bc94a98a058ea9f3832"
"c.","012750d4fc9e49702ad721133305438e"
"d.","f4900da2ac34ac330fc14bb39d9fceb9"
"e.","df8785ec1b3f3a17e8279fac030d33cb"
"f.","e3cde3f61de01c172fa395c723c68d2f"
"g.","2c90dc94eefa75b90f9fcd8b21b7d7ef"
"Noise Pollution:","c766dd4fb50fa97c8fb8aebb2cefd070"
"Global Warming","619df760a2b70f2a06285ba7c9188ad7"
"Believe.","1cff2924245a3cc1ed9469c0efcfcf7b"
"Inspire.","650b756141fc66eb964396613c152935"
"Achieve","28bb4a3fba9dd9a29f702df05c1a9816"
"Succeed","a6c3f75313c0227d7828d5c0ece9fa7d"
"Focus","e24ee2487879116dcab772c0ac4fe341"
"Learn","2f1a3e62508d88ddc31f1aa72a8334d4"
"Create","686e697538050e4664636337cc3b834f"
"Dream","2a2542f9e61a9a1d3b83ae31889ac954"
"Grow","8c9660e13feab2278a3b528bb4dd8f24"
"Shine","3e0d11930ea51916a99f23f29a9f6492"
"Smile","70c69d918193ed48cdae6a264e7f1a20"
"Hustle","d9fc141690ff6b022b7f15b533daac7f"
"Conquer","e4090080ec81d4178e6e725282c7845b"
"Imagine","f54a3493468c124273bca8c69487fd15"
"Explore","1819001b72329e2ef5799fe504238035"
"Improve","10ac42c4d7dca450a66e8efbe8b00799"
"Love","8bd7a1153a88761ad9d37e2f2394c947"
"Thrive.","fc6f11a6729ef83af76e74f9fb3c1295"
"Endure.","270e78fd4594ccdcb2ed98c56dc83c78"
"Overcome.","bcf43d0f3b21b5a96bd93471f8b789a4"
"Push.","e138ddf8668bae2b6ea8e8b1628485a2"
"Strive.","a07e306efdc42a157c6aad57eb57a8bf"
"Rise.","ee74b3389d15c87593d4f8cb65c1f1f7"
"Fearless.","58b8eeb4b2bee8cdbb7fff1683d03e38"
"Bold.","e8e78a83aa583ffc96f6d2b410900fd5"
"Brave.","57aff047d00d36866b77d64a370a6275"
"Victory.","0909bfb63588a0b674476c4c368607a7"
"Relentless.","790ac427debb8f642c4d20f74f5f8cfe"
"Unstoppable.","52b81fc446ffb49496f568f8d46fd1ec"
"Freedom.","691533c9f7368403416773eef580b208"
"Limitless.","1bec8066a04a5f87125bee4ecd9c0c71"
"Unbreakable.","1b49dedb85da1084b490fc7f82d0d160"
"Resilient.","f1d3135dab9820d32576d807c47ebadb"
"Elevate.","bd14a999efc2a61463de1ccdb662abbe"
"Dominate.","8eb034ed99408a70d8bcc0366b3290ed"
"Excel.","9977fb67981682ce8ab4471e58bb3e5c"
"Innovate.","b8e203d479cd98353db0c28522f6f89b"
"Encourage.","1b1a91aa981291a46e80a66894894e0f"
"Motivate.","e8c1f2f129cbadb571889696d83ebe94"
"Strengthen.","1d14e66df29d4dd75a6c791b0c144bea"
"Transform.","4374ae48d10c02dd82002d9e0edfb971"
"Evolve.","b97392648f5109db4f8a9cf228e12bd6"
"Ignite.","72e7fa6debcda9966879704a8d4ba50b"
"Radiate.","9b2124968163200517a97ed3f2ace380"
"Embrace.","a0ca48b90f1aae0790e660451bdc9ec7"
"Trust","2f81eae07126287c59c259054052ddb9"
"Persevere","e7d5227c069d13c665cb790a940953a3"
"Motivate","527c6240313c06110a3b3204d5de8479"
"Lead","a745d95c3ce1d9bd6757bbc4bfbb13f2"
"Adapt","5020a3a8e38b39cfd5c07df842d7d614"
"Progress","46b5f8c58b679b4243cbdb5749642c86"
"Courage","f8d54bc6c2f44b0401020312f18b679e"
"Strength","5a455a612047a34ede7a6c564fa67c0a"
"Persist","5a7dacb6e9b5ba37e22f825429355174"
"Win","119eac47719cc9be7b99124712e229da"
"Transform","2ff4148554480a37f85efd299df04850"
"Inspire","52bc99d5390cae1d4097906abde0560e"
"Empower","7b7ce2c6a8819b2518bfbc866e61e9cb"
"Elevate","776230964121ff9df74a3a4ef6bd40d6"
"Stay strong.","1445e9177c7807c97cbda32c12e71166"
"Keep going.","e4d73e83546d98f8ae927dda0b6a3e73"
"Never quit.","2cb5113f9d776bc60a505fb4d240369b"
"Be kind.","aad4c51eae07589e5222da847a7fd0cc"
"Dream big.","0f82683707ced119558d0a1f46b580d9"
"Think positive.","fedf322dabab0bb4f2489b2074617971"
"Stay focused.","9afe64783b7cf6403ff7918c8d982188"
"Believe yourself.","63b71d306d246e3eabbfe43267f8e78a"
"Work hard.","5e9af661110e0cacd8c60547f5408bdb"
"Love more.","47da9e3058a69a8db8ae77ddf7c5725a"
"Stay humble.","272eafd7508b3ce98a68b69fdf984e45"
"Keep learning.","15ab9c9111fb5be3ec59df022a12be72"
"Trust yourself.","db6f90e52954036ba830a00a83b3e6c4"
"Stay patient.","4397cecaa07d50cb2e24d9d72e66fdd7"
"Be fearless","8451896bb1c51da5d540b62fefa08982"
"Enjoy life","8ec2929e6151b5969478f2a7b06a3fbc"
"Take risks","252b9b17a5f7e8418a9940be0c1f5435"
"Keep growing","97f6105ca3d2b82718e2887f2e906a23"
"Stay curious","2d607f112fa7f523a72e1417abcd2d20"
"Stay determined.","c443768c76d40f99893a2aa9b1e2d0ed"
"Keep smiling.","8d370aab0f7b7f071d24150eafe067d4"
"Stay motivated","0b0fa1e2b85c4d2dcc20d8265d0e647e"
"Be different","654ecba86d01354d831172a1776373dc"
"Stay grateful","67de34e488af085cbf20b6fb99521cad"
"Stay disciplined","915e22dc2aaae5ddd09ec250bc3b0447"
"Think smart","b999a395e38a098f0b0c07cb62d0d0d3"
"Be confident","0ae02abf4232b2d3e1dc49e2c9cfbd23"
"Stay happy","253b46f508615d155914fb47270cc5d8"
"Stay inspired","0436a46f9c17f520f6067aa31855fe18"
"Be unstoppable","bb4f75fc0f448626b1e67b4477f7b9e0"
"Hustle hard","18a25dc01adfb6d2065e01fbb93d5c97"
"Stay strong","a08c4c522349b559002586af76c883ec"
"Never settle","297b4bb1eada50a40a5020dc0f0ed2d4"
"Choose wisely","10a0bec7ff2c573bc34c97cfe5e76a6a"
"Stay active.","cb939da6b239ae1df6569df8df50b9c8"
"Act now.","8715e6f18a63e9494c87d63adb2c251f"
"Keep pushing.","5ef2abfc5f4029fb88eb631c5a73d22c"
"Stay positive.","c9cf33edd430052686bb5f7f54ae4a2b"
"Create opportunities.","c875ffd66ef55bb2bb078c31934274fa"
"Keep moving.","81328e542294d18666d682663f43addd"
"Work smarter.","260af1a8a387fd0963e987a09ec71edc"
"Stay consistent.","b6febf8b8a009765386b4204bd2de3b1"
"Never stop.","2420b103c750896db30ef70a766eb6ce"
"Be unique.","cb3a76743d701f4b533e4fee93c8e343"
"Keep improving","c319f60b036c2b04415678a85164529e"
"Stay resilient.","135d46825a89938562c605f54f40bb2b"
"Keep believing","ae5f442058d14f9cda8e7dc503a721d8"
"Stay fearless","db00e76bb86401bb41ec2ce7d8754595"
"Make progress","149b3dc9da6e9f08fadbf29d49305367"
"Keep winning.","d18a0fdde3dc933e9787775693f95b62"
"Stay true","bcedc36ec121cead7d5f5f2ca0fa2e23"
"Never doubt.","c3464ea23a20feea29b845bc8e819aaa"
"Keep shining","5979d7654401c0b0a66220138eeb98f6"
"Live free","b7f1d014f66d8a8f9e527ed39cdf50c8"
"Love unconditionally","f3e52f841bafe556eef16de4fc7ee972"
"Stay unstoppable.","aded8e773c2e34071bda835f35e71d58"
"Rise again.","77e847a3dedc9b1584b311d74acb732d"
"Enjoy moments.","32bb4c3e498109b9d861a000860bfa4a"
"Embrace change.","92e571f4e5842e3416abd643fc71c28b"
"Stay powerful.","82eb6675c6d79f255199bbe4ef66684f"
"Keep trying","16a0e1766800add544a380ef742eb00c"
"Stay real.","28b245de3d6db0dc33b68d4234bce840"
"Trust fully","3a4b0010b10237101da833ffb2bf73b3"
"Keep striving.","9195469eecd54371d6b618234dc60b92"
"Never hesitate","c37c04f678c9ffb9333c05e0f5b79e07"
"Stay adventurous","176684bb26edf5ab4546f320d6e941e5"
"Keep pushing","9243a668ef62e5dc88f4078764690546"
"Never fear","fe6882a46977b3029936ef6f1b61433b"
"Trust life","c2bdb4af954f2b42e3a260b1c3b4a062"
"Love yourself","39b1aeb7a3b7d3b308f40f9559c91739"
"Stay hopeful","80225a3c56049448d255d3cf24e65cdd"
"Work hard","30b7d75bcb87588fb5b712bd4e8f01f4"
"Dream big","b518bf601c87ab32b909020982391447"
"Keep smiling","05762955a77396721549b2aa8a8b354d"
"Stay patient","066d50f944aa2a3459e14eb5bdf11f93"
"Move forward","826bb30e6bbe54f97d8799cdf4142e4c"
"Believe more","d8792105ed500d6132bc5a628931e4f0"
"Stay positive","b835aa2c1acfa5c00586f0c307ffc872"
"Think wisely","9fe8d76e2e7d203259122be5ab5f4e27"
"Hustle daily","723ac0153bc28388fb2f99bcca173ece"
"Choose happiness","8580c582d45d3e56252214b04fd43b94"
"Hi, nice to meet you.","245efd98940bcc42cc60561014a2e98f"
"Do you have any children?","dee26a24eb3ab25c54c1d9b51c7c2aaa"
"Yes, I have two kids.","a93a2cd6d29d75e25caf587cdc7cb029"
"My day was great, thank you.","e280db8d3da2162b68ce2c34d69bffd9"
"I wake up at 7 am.","a01470bce5e7af837710ae0b48cd09ba"
"I drive to the office.","80685d7c398fde38c30d80d8cf1d4a55"
"I start work at 9 am.","8d3373041ec8d697ac86fc5d2fb48242"
"I have a meeting at 10 am.","8f5c9cbc5209307b19ff30d11c32d636"
"I take a lunch break.","0d1f3232ca6c8e3f5e8f687da87dbf8c"
"I eat lunch at 1 pm.","ebbe3425d2397ff6b65b61a4cade79e1"
"I finish work at 5 pm.","cabde4688dc128ed72cef57f594c63fd"
"I go to the gym.","89fb4c11fa642ba7294c99fb08a9bfe7"
"I exercise for an hour.","c4d873e73763a4fb5c16e81e6a6068ef"
"I go to bed at 10 pm.","cd5bb610881930c8f36a8ffa2960f82c"
"Where is the nearest grocery store?","d885c566c09c5c00a99a7982b90197df"
"I need to buy some milk.","f72b8026836d28af02e866a21f3a48dc"
"How much does this cost?","4c84620cb123e8aeb74f5109ea69669f"
"Do you accept credit cards?","cfbbaa0b9083de6bb2bb2153e001cb31"
"Can I have a receipt, please?","adc448b87eed81597e4a763ace1ce9de"
"I am looking for a gift.","5f291aa90cdf25ff02654dc8ba8f67ba"
"What size do you wear?","902622bd2ac7e6b1cd5ee28a0c15b1f0"
"Can I try this on?","aa80174eed67f311b9fada5c8f5f2826"
"Is there a discount on this item?","073456aa4bbb2afc3f0e4837aa562389"
"Can you help me find this product?","33b8030324bd85cb704a434b1deeebd9"
"How much is this in total?","de89d226c07f289bc7e7cffc698d8e07"
"Do you have any offers today?","5bb5a5b716e63c69afd813e0d57cfad5"
"Where is the fitting room?","e3f178baf65acd80f711d68440df250d"
"I need a shopping cart.","06aeb2329fd79944bd002e32e5394816"
"Do you sell organic products?","65d7e7bd84348aa76e199a675e1ec6f9"
"Can I get this delivered?","b7fbcbfa403d679f79fe0859ddba2cb5"
"What time do you close?","5f3a8c0af51163ef77450571d04c088d"
"I would like to return this item.","d6494f8ec07d217b8b541d552cffaa8c"
"Is this item on sale?","74906c543c9cf504c5f56ac5f5f64871"
"Can I see the menu, please?","1172428749d4e93d07ee2dc68d041c30"
"I would like to order.","48ca03c59b41f0de1b5bcde421851077"
"I will have the chicken, please.","f37092d63dc0a9726e21bbe89a9d2c6c"
"Can I get a glass of water?","ace376dd5d0b38952c02053920e35935"
"I would like a coffee, please.","a4579e70755d35aea9c53e4c3e04008c"
"Can we get the check, please?","e9fd34ec89707de0f37c5e666c776f62"
"Is there a vegetarian option?","04f495e3d794d335d517e4f773bf8df7"
"Can you recommend a dessert?","d63491bbd66626e039fbf3a49ef560d2"
"I have a food allergy.","114f315bd939e733992cf33753ab71e3"
"Can you make it less spicy?","0aca20f032125c16e3864db7bb0de5ef"
"I would like a takeout, please.","1c37c83cd44232b8ee3cfcf65878502c"
"Is there a service charge?","63d3e14996c5d43538e53f0232184db0"
"Can I pay by card?","c540068fa74b114cd9b64848a56da2bd"
"Do you have any vegan options?","154af5450cd0c569f7ef817f0ef01b11"
"What is the soup of the day?","1b4c055db033e6d9c9b0e67609d64106"
"Can I have some extra napkins?","1e57a252aceafc34170338aa421e9d8c"
"The food was delicious, thank you.","34c200224ed9d1b92ff2a3492e1619b4"
"English Sentences on Asking for Directions","67e622fb845f09dbb7d74abde6d3d8b8"
"Excuse me, where is the restroom?","7e3ccf6f8341bfcfd5514b8c35c8041e"
"Can you show me on the map?","7f85c51fa1605c7f2588c33fcd1dd201"
"Is it far from here?","3061b56eba794669b0f50759e8a9eb2a"
"Which bus should I take?","5ebcc632a253bda357500b98aa693d67"
"Where is the nearest ATM?","86b8672fa168d80db6f77a7862623781"
"Is there a pharmacy nearby?","1c0b7ccbea8a769839799505cae3b258"
"How far is the mall from here?","4e7fcff0f9941d6e066457f3d7f9d6b4"
"Is it within walking distance?","f696bd9f2136178a107df6b2a72e995e"
"Where can I find a taxi?","c789349d6352f1985ee5ae85607d14c2"
"Can you help me find this address?","1f48f7010b3854dc63ea0a37506a0d7b"
"What is the nearest landmark?","e72b19db1602eb41ce1f999d5f883927"
"Is there a subway station nearby?","cc0f730126a51ad1e5fb7fb9d52807ff"
"Is there a parking lot around here?","478f590a4e7be7e0432aa160be20288e"
"At Work – English Sentences","fa9129c2dfa70490180a4eb2b797353b"
"I have a meeting at 9 am.","65ded2bb37b5020e358de119c8e7b819"
"Can you send me the report?","cdcfc48f706f278b5b5f9723556ea049"
"I need to finish this project.","2440b4695f221321ed2d4289648bd487"
"Can you help me with this task?","329b146da6654025b494ac90a6e62e5d"
"Can we discuss this later?","9e3e149f19b063e3bce5e92bd076d4a5"
"I will send you an email.","5b3a6a9131da5d08f466874fba84da37"
"Can you print this for me?","b5d9011ee901194d471923069cd13608"
"I need to make some copies.","80f1ec24d79c1d62f43b429281cfc33c"
"I need to call a client.","df53a1e1843c7f3bc54f9267616a3d53"
"Can you join the conference call?","e3189fb595de67ed2e043ddeaacbda11"
"Let’s have a team meeting.","81e6c5d3d336158f18882dcfddbe6809"
"Can you cover for me?","b3b011eb7f97a52c8fcbec4b9dc47618"
"I need a ticket to New York.","026232665398bc4f26db457148a1e617"
"What time is the next train?","101b1a5eb695e0b717d4264d0b092bcb"
"How much is a one-way ticket?","8547b2784a46ef8e6cadd1e82a7a644b"
"Where is the boarding gate?","0301a0c4a6dd6fcbe9aeb28e15fed8f9"
"Can I have a window seat?","955bd6824dfa57c5d10cc87b770f2473"
"How long is the flight?","7df2a19acb0bf0a3167aa676e36950bf"
"What time does the bus leave?","bf6f12cf6f0afbff0cf3ba0a6a28b542"
"Where can I rent a car?","3eefe761a50f137846445b514d1fc835"
"I need a map of the city.","795461e27429aefa7fe816ed3871b8e8"
"Can you book a taxi for me?","1ac88aabf292b1934f71e8f0feaf5688"
"Where is the baggage claim area?","45fd593ebac0499e0762835deb172352"
"What is the local time?","bac6dbab58bceccdc07d6239bb20e3f4"
"Can you recommend a good restaurant?","392208f969b27ad9a9624a34aacb9a0d"
"Is there free Wi-Fi here?","bbdcf74328f8c39666ca63de9d1bffa5"
"Where can I exchange money?","fe3b233734386a2bd19457b555c970a5"
"What is the check-in time?","70a63dcbd6cbd67c184f7c8c25bcff6f"
"Do you have a city tour?","c7baa5c32334b55eb9e4ff8c9427c96d"
"Can I get a late check-out?","954e6164407f43ea683918f2407ff695"
"Is there a hospital nearby?","d1132d897ed5eca86d9af6d9995cf937"
"Can you help me find my way?","14943cad07ae43af497abc0f05a918a0"
"My phone is not working.","84af195b6328f386446e8861443ac6f0"
"Is this the emergency room?","842be69a6990355fcbd89b7cbf7a0486"
"Where is the nearest pharmacy?","aab88c767acadc7865418137dcff8566"
"There has been an accident.","f333ffdb5e2eb5f3a1402b93cb899daa"
"Can you call an ambulance?","20df3911118f8ef06d6597bd9889cd93"
"I need to see a dentist.","36c3bc862d6883c2041d2a3663f10733"
"Is there a fire extinguisher?","ce3abc4c83f280bead4cf6509809d7e7"
"I need to contact my family.","22856582a4dae87470ca18df04b2e7bf"
"Can you help me with first aid?","bd5073c97c96193662ad7c1dcc23acaa"
"I need to report a crime.","e2ca1868862910dec6053989109ed330"
"Making Plans – English Sentences","164f32dbbbf6c42b44655cb5fa6e92df"
"Let’s go to the movies.","b0f0913aea3dd2b6a1e2ab658d434d20"
"Do you want to hang out?","122ba3e344a42f358ba0ff1f776c2b4f"
"Let’s meet at the park.","40846791f7a990aac0b2edecde158cdf"
"Can you come over tomorrow?","6e7fa7d4ad41e899aa5d7d325d11de5e"
"Let’s go for a walk.","8366d62d3febc69d7f4b79ebd5864eb4"
"Are you free this evening?","e9dac584faab6dd20b9da08097c2fec8"
"Let’s go to the beach.","592b4e41ac781169f77cbbff8e882353"
"Do you want to play a game?","b887b4fad1874c3841f332dd1e7b9659"
"Let’s go to the museum.","ab52b5864cfc8c81d26a8ed5ce934a0f"
"Can we visit the zoo?","9986f258a22dda9dc8da722e0e75c1dd"
"Do you want to go hiking?","2824a570963560620e91663df3dad513"
"Can we watch a movie?","ced04d401c439634a2e1075f9cdb0fb8"
"Let’s go out for coffee.","0c8bd7bf93d590e68f356a3a525ed021"
"Do you want to join us?","5e498b073d7089f27d2e8552867dcbd9"
"What is your favorite color?","1e20a1ae79f4d3b54176d34e1b52ab68"
"How do you spell that?","f56156241dcaf9de7f7c9f0bbc70c882"
"It’s next to the bank.","6ef4e126f7a08bffdcd1059d68d59f43"
"Go to the end of the road.","52f4390be56e1529d2ffa0f5fca5d386"
"It’s near the bus stop.","9f342bc27b89bcfe6631fccda6827ee6"
"It’s in front of the store.","45e1b3ddd9c4a99dc13967ee911820d3"
"I think this is great.","14d3756de85f5f57d52eae0adfd53d14"
"I believe you are right.","cd5c2a72d7cf3a9dab7e18d1fc1f0ab1"
"In my opinion, it’s okay.","331d3ba5935748ff5ab7ca6a43e60e68"
"I feel this is important.","8691013465348cff5eb936ced28d03a9"
"I think we should try.","5b92a56784bb32b8634f6f4b43359a98"
"I am not sure about this.","727e2b402ded4ba99420c16980600e55"
"I think this is a bad idea.","20ec0e3d8949e2a82d5e897933842c10"
"I feel good about this.","8a3056f033fffce075667b2c1548dd68"
"I think we can do better.","f2af8934a26b8ade4935ebd50a5dc66d"
"I am not a fan of this.","ee8a31cb462b9568c922a40f284c4e0b"
"Could you please pass the salt?","9719a22ad78a1e389d023c4b5a027068"
"May I borrow your pen?","20b3c67a29c4ed45b477019b6b7dba17"
"Can I have a glass of water?","406b989a773f696c4997b91a885af37c"
"Can you turn on the light?","04ce0bc974e334c64eb080b470611e6f"
"Could you close the door?","eb27b4875c3a3e92c89010c858ab9267"
"Please lend me your book.","c2860a97b5f4596f0cf7f03222895eb8"
"Can you show me the way?","7503559637b73dd510667ce514dce50f"
"May I ask a question?","794dcc58e2e27d23f0cfe7afa0c1ef67"
"Could you speak more slowly?","2b3057d176e9b043c05aa6d7954ab4df"
"May I use your phone?","1845de3fc9a7a60877707f2d6dfd88b3"
"Could you help me with this?","b687d91f5229213c90087fc812513fe0"
"Please tell me the time.","f77622c44d1785d09a00bce40d6cfaa5"
"Can you give me a ride?","3be3f9c13cebccc1e9c5962e889c7b95"
"Could you explain this to me?","9e9b1ea5c7eb456cb519f4c4e1f1c58b"
"Please turn off the TV.","ab2c1d3f1a81e8a786fa3e96c7f805e8"
"I am sorry for the inconvenience.","2323e79c2c93139bbb2de26268d27338"
"I am sorry I am late.","f48f3e3cda78e07568b53f93dc0a0acc"
"I am sorry for the mistake.","59558e535546b7f5704b558c561627c5"
"I didn’t mean to hurt you.","014119fe0c20f2f952036c8b2b838e4d"
"I am sorry for the confusion.","c2b61eda6f981012fcfccc3023405a39"
"I apologize for any trouble.","2cb1b3185ddef5820ec42808185a9f85"
"I am sorry for the misunderstanding.","8de0132724bd0093b062589c5cc563e3"
"I am sorry for being rude.","59928a42993cf3518d101f1316efdc15"
"I am sorry for the delay.","f4223b54d7f4f6da229f1d83fd1e94b3"
"I didn’t mean to offend you.","2d976ae9a938701415e96b7ac52af079"
"You ought to see a doctor.","4b2c772974eb873548f68bd36fdea0e8"
"It’s a good idea to save money.","192e98a3e6c8cd16d25f13c0ed57af71"
"You should take a break.","84f6949559551eaf2dd3b5f19b5c897c"
"I think you should go.","8d21e41f23b21d06f3c54e1fe2c5b70c"
"It’s better to be safe.","d3cd8c6e83b92f2dcfcf9c8b98d2e798"
"You ought to eat healthier.","083ed94ada4f1fb9eb71a7c9c3876400"
"I advise you to study hard.","d88525201823f2260f9eff8e39bba23d"
"You should get some rest.","f8e43e33659c58c4c28fbc123f606ede"
"You need to work on that.","b42f2dac66bbc24faa46fdc190109e7e"
"It’s good to be prepared.","52af3a5edabeb13a99920e2729b40beb"
"Try to be on time.","99d49d72c3758a7d73757c40be4a8bf2"
"You ought to listen to her.","586f881b664f2eb28110ed2daeabc56e"
"It’s best to be honest.","b62098b403e950420b673e223b8e9de8"
"Expressing Gratitude – English Sentences","cf54eac0a213dbed0e4ad4cecddecc12"
"I am grateful for your help.","e4e966f8f214ae0ab533f1368cb03aa0"
"I can’t thank you enough.","049e4fd62154f3cd8f2e506e184a9551"
"I am thankful for your support.","aaf407dc7d030f65e034f149640c87f8"
"Thank you for your time.","e1e7940365d6d61e57e3ed8350b7531a"
"Thank you for being there.","4996f031bfff38bb3d980a30d897942f"
"Thank you for your generosity.","0c93e9e98c6c71c57bbf084de8cdcfc3"
"I am thankful for your assistance.","17448afe992a44675247fad104f2f4c2"
"Thank you for the information.","499299ab8dab5c169047fd9df6a5aaad"
"You did a good job.","cba2cd67e8560bc436edaab4319868fe"
"You have a beautiful smile.","7d1ae9cb513a75c3a642f4e2732f4d85"
"You are a great friend.","5a8cd2d9f9066ef7dd0cf0c2dd03ca16"
"You have a nice voice.","e586b0f10313ca4f320c192375b8746c"
"Making Small Talk – English Sentences","961f31409be84c1ec1e3f0e1334059bb"
"How is the weather today?","d1f97fcfd0366ec3519bf2ad5fc57dd2"
"Did you watch the game last night?","9a0f4bfc5225621d63756b4ba40f030f"
"What did you do over the weekend?","161b65bdbdf1a4b7d1642bd993ad1f9e"
"Have you seen any good movies lately?","e7d410eba7711bef435dde55e0812783"
"Do you have any hobbies?","a940a92cccb4fb7a22ee42bd2db07816"
"What kind of music do you like?","37153f35d3fe5e2c4fb851ebd4d3a320"
"What are your plans for the weekend?","8d0154727b8d931c930dbe9c9eda211d"
"Do you like reading books?","55310f41f0d20d3ecc49d43c6ac90159"
"Have you tried the new restaurant?","94f2dcfdc663df64d239fe60e78d974f"
"How do you spend your free time?","d788226a051e08d59f56ec592e5848bd"
"What is the best way to get to the airport?","d508a44a09e812ffaa8809e4811c2a5f"
"Want to come visit the first site already under way?","fa6ebae3cc6fe36c88e43eb1d4c9c55c"
"Musk is spearheading Trump's government efficiency efforts and will closely advise Trump on spending.","dc3f4bb4de69fc5a5c5bb9d2f6913e1a"
"What is AI, how does it work and what can it be used for?","bf629157ec57d313571168cc83a0303e"
"Mushrooming demand OpenAI has long called for more investment into data centres for AI.","086aea381f1818b54f2070d5ff968d1d"
"HELIOS was also designed to disrupt the intelligence and reconnaissance sensors on enemy vessels.","d08fa16ee69ab420ce8eead1dea37f13"
"The US Navy conducted the first tests of its drone-kill laser weapon","5406891388cf99f294ed827d1bc889de"
"Free IELTS Master Class - MSc In Supply Chain Management - Check Eligibility For Free","2313379f1babc16b715d2309f14beca3"
"The US Center for Countermeasures (CCM) released details on the testing, SWNS reported.","238096da55f23b31e8e8ce483d75eed3"
"'Image a thousand of these things coming over the horizon right at you,' Andreessen said.","7290ee109a8cd66afe8d2a1f39a18bcf"
"'Part of it is simply the speed of processing,' Andreessen explained.","a05666c2ff330cb8b0a3a7b0e4bdd917"
"—There are certain matters, such as a bird’s song, its time of migration, etc.","8817514563ab3b2ddbf1f2ba28faf998"
", lined with finer materials,” we have a faithful delineation of the nest itself.","7ebc511da633e2dd86af42b2befefd2e"
"From Wild Life at Home, how to Study and Photograph It, by R.","ca45be0c31691cd0b40d15d2374faf50"
"In this type of camera two lenses of equal foci are employed.","af69624e551e06e418f1487ae1b68485"
"They are set one above the other in bellows, which move as one.","f00abdaa2c0b4efb83c5f88efb622692"
"For several years I have used a “Victor” lens, sold with the “Premo” long-focus camera.","1e2e4d7d523cadc15d999a5a96be29ab"
"When the conditions are favorable and the subject not extremely difficult it yields satisfactory results.","3d212b99b219f37335171e7b25bfd8c9"
"These lenses are of the highest grade, and consequently expensive.","c89b8881c8229229e3789d3feed966c2"
"8, time ¹⁄₂₅ second; second,4 fourteen-inch front lens of the combination, stop F.","8049207f2b0def9315f97a84c6ca8d2b"
